"","code","name","c_name"
"1",22,"深赤湾Ａ","交通运输"
"2",88,"盐 田 港","交通运输"
"3",89,"深圳机场","交通运输"
"4",99,"中信海直","交通运输"
"6",429,"粤高速Ａ","交通运输"
"8",520,"长航凤凰","交通运输"
"9",548,"湖南投资","交通运输"
"10",582,"北部湾港","交通运输"
"12",828,"东莞控股","交通运输"
"14",900,"现代投资","交通运输"
"15",905,"厦门港务","交通运输"
"16",916,"华北高速","交通运输"
"17",2040,"南 京 港","交通运输"
"19",2183,"怡 亚 通","交通运输"
"20",2210,"飞马国际","交通运输"
"21",2245,"澳洋顺昌","交通运输"
"22",2320,"海峡股份","交通运输"
"24",2357,"富临运业","交通运输"
"26",2492,"恒基达鑫","交通运输"
"27",2627,"宜昌交运","交通运输"
"29",2711,"欧浦智网","交通运输"
"30",2769,"普路通","交通运输"
"31",2800,"天顺股份","交通运输"
"32",300013,"新宁物流","交通运输"
"33",300240,"飞力达","交通运输"
"34",300350,"华鹏飞","交通运输"
"35",300538,"同益股份","交通运输"
"36",600004,"白云机场","交通运输"
"37",600009,"上海机场","交通运输"
"38",600012,"皖通高速","交通运输"
"39",600017,"日照港","交通运输"
"40",600018,"上港集团","交通运输"
"41",600020,"中原高速","交通运输"
"42",600026,"中远海能","交通运输"
"43",600029,"南方航空","交通运输"
"44",600033,"福建高速","交通运输"
"45",600035,"楚天高速","交通运输"
"46",600057,"象屿股份","交通运输"
"48",600106,"重庆路桥","交通运输"
"49",600115,"东方航空","交通运输"
"51",600125,"铁龙物流","交通运输"
"54",600190,"锦州港","交通运输"
"55",600221,"海南航空","交通运输"
"58",600269,"赣粤高速","交通运输"
"59",600270,"外运发展","交通运输"
"60",600279,"重庆港九","交通运输"
"61",600317,"营口港","交通运输"
"62",600350,"山东高速","交通运输"
"63",600368,"五洲交通","交通运输"
"64",600377,"宁沪高速","交通运输"
"65",600428,"中远海特","交通运输"
"66",600548,"深高速","交通运输"
"67",600561,"江西长运","交通运输"
"68",600575,"皖江物流","交通运输"
"69",600611,"大众交通","交通运输"
"70",600650,"锦江投资","交通运输"
"71",600662,"强生控股","交通运输"
"73",600692,"亚通股份","交通运输"
"76",600717,"天津港","交通运输"
"78",600751,"天海投资","交通运输"
"79",600787,"中储股份","交通运输"
"80",600794,"保税科技","交通运输"
"81",600798,"宁波海运","交通运输"
"82",600834,"申通地铁","交通运输"
"83",600896,"览海投资","交通运输"
"84",600897,"厦门空港","交通运输"
"85",601000,"唐山港","交通运输"
"86",601006,"大秦铁路","交通运输"
"87",601008,"连云港","交通运输"
"88",601018,"宁波港","交通运输"
"89",601021,"春秋航空","交通运输"
"90",601107,"四川成渝","交通运输"
"91",601111,"中国国航","交通运输"
"92",601188,"龙江交通","交通运输"
"93",601228,"广州港","交通运输"
"94",601333,"广深铁路","交通运输"
"95",601518,"吉林高速","交通运输"
"96",601866,"中远海发","交通运输"
"97",601872,"招商轮船","交通运输"
"98",601880,"大连港","交通运输"
"99",601919,"中远海控","交通运输"
"100",603032,"德新交运","交通运输"
"101",603066,"音飞储存","交通运输"
"102",603069,"海汽集团","交通运输"
"103",603117,"万林股份","交通运输"
"104",603128,"华贸物流","交通运输"
"105",603167,"渤海轮渡","交通运输"
"106",603223,"恒通股份","交通运输"
"107",603569,"长久物流","交通运输"
"108",603885,"吉祥航空","交通运输"
