"","code","name","c_name"
"4",428,"华天酒店","休闲服务"
"5",430,"张家界","休闲服务"
"6",524,"岭南控股","休闲服务"
"7",610,"西安旅游","休闲服务"
"8",613,"*ST东海A","休闲服务"
"9",721,"西安饮食","休闲服务"
"12",888,"峨眉山Ａ","休闲服务"
"14",978,"桂林旅游","休闲服务"
"15",2033,"丽江旅游","休闲服务"
"17",2159,"三特索道","休闲服务"
"18",2186,"全 聚 德","休闲服务"
"19",2306,"*ST云网","休闲服务"
"20",2558,"世纪游轮","休闲服务"
"21",2707,"众信旅游","休闲服务"
"22",300144,"宋城演艺","休闲服务"
"24",600054,"黄山旅游","休闲服务"
"25",600138,"中青旅","休闲服务"
"27",600258,"首旅酒店","休闲服务"
"28",600358,"国旅联合","休闲服务"
"31",600593,"大连圣亚","休闲服务"
"32",600640,"号百控股","休闲服务"
"35",600749,"西藏旅游","休闲服务"
"36",600754,"锦江股份","休闲服务"
"37",601007,"金陵饭店","休闲服务"
"38",601888,"中国国旅","休闲服务"
"39",603099,"长白山","休闲服务"
"40",603199,"九华旅游","休闲服务"
"41",603869,"北部湾旅","休闲服务"
