"","code","name","c_name"
"2",156,"华数传媒","传媒"
"4",504,"*ST生物","传媒"
"7",673,"当代东方","传媒"
"9",719,"大地传媒","传媒"
"10",793,"华闻传媒","传媒"
"14",917,"电广传媒","传媒"
"17",2095,"生 意 宝","传媒"
"20",2148,"北纬通信","传媒"
"23",2181,"粤 传 媒","传媒"
"24",2238,"天威视讯","传媒"
"25",2261,"拓维信息","传媒"
"27",2315,"焦点科技","传媒"
"30",2400,"省广股份","传媒"
"38",2712,"思美传媒","传媒"
"39",2739,"万达院线","传媒"
"40",2858,"力盛赛车","传媒"
"41",300027,"华谊兄弟","传媒"
"43",300052,"中青宝","传媒"
"44",300058,"蓝色光标","传媒"
"45",300059,"东方财富","传媒"
"47",300071,"华谊嘉信","传媒"
"48",300104,"乐视网","传媒"
"49",300113,"顺网科技","传媒"
"50",300133,"华策影视","传媒"
"51",300148,"天舟文化","传媒"
"52",300226,"上海钢联","传媒"
"54",300251,"光线传媒","传媒"
"55",300288,"朗玛信息","传媒"
"56",300291,"华录百纳","传媒"
"57",300295,"三六五网","传媒"
"58",300315,"掌趣科技","传媒"
"59",300336,"新文化","传媒"
"61",300359,"全通教育","传媒"
"62",300364,"中文在线","传媒"
"63",300383,"光环新网","传媒"
"64",300392,"腾信股份","传媒"
"65",300418,"昆仑万维","传媒"
"66",300426,"唐德影视","传媒"
"67",300431,"暴风集团","传媒"
"68",300494,"盛天网络","传媒"
"69",300518,"盛讯达","传媒"
"70",300528,"幸福蓝海","传媒"
"71",300533,"冰川网络","传媒"
"72",300612,"宣亚国际","传媒"
"73",600037,"歌华有线","传媒"
"74",600088,"中视传媒","传媒"
"78",600373,"中文传媒","传媒"
"79",600386,"北巴传媒","传媒"
"88",600804,"鹏博士","传媒"
"89",600825,"新华传媒","传媒"
"90",600831,"广电网络","传媒"
"91",600880,"XD博瑞传","传媒"
"93",600936,"广西广电","传媒"
"94",600959,"江苏有线","传媒"
"95",600977,"中国电影","传媒"
"96",600996,"贵广网络","传媒"
"97",601098,"中南传媒","传媒"
"98",601595,"上海电影","传媒"
"99",601801,"皖新传媒","传媒"
"100",601811,"新华文轩","传媒"
"101",601858,"中国科传","传媒"
"102",601900,"南方传媒","传媒"
"103",601928,"凤凰传媒","传媒"
"104",601929,"吉视传媒","传媒"
"105",601999,"出版传媒","传媒"
"106",603000,"人民网","传媒"
"107",603258,"电魂网络","传媒"
"108",603444,"吉比特","传媒"
"109",603598,"引力传媒","传媒"
"110",603729,"龙韵股份","传媒"
"111",603888,"新华网","传媒"
"112",603999,"读者传媒","传媒"
