"","code","name","c_name"
"1",27,"深圳能源","公用事业"
"3",37,"深南电A","公用事业"
"8",531,"穗恒运Ａ","公用事业"
"10",539,"粤电力Ａ","公用事业"
"11",543,"皖能电力","公用事业"
"12",544,"中原环保","公用事业"
"16",600,"建投能源","公用事业"
"17",601,"韶能股份","公用事业"
"21",690,"宝新能源","公用事业"
"22",692,"惠天热电","公用事业"
"23",695,"滨海能源","公用事业"
"25",720,"新能泰山","公用事业"
"27",767,"漳泽电力","公用事业"
"29",826,"启迪桑德","公用事业"
"31",875,"吉电股份","公用事业"
"32",883,"湖北能源","公用事业"
"33",899,"赣能股份","公用事业"
"36",939,"凯迪生态","公用事业"
"37",958,"东方能源","公用事业"
"38",966,"长源电力","公用事业"
"40",1896,"豫能控股","公用事业"
"41",2039,"黔源电力","公用事业"
"42",2267,"陕天然气","公用事业"
"44",2479,"富春环保","公用事业"
"46",2573,"清新环境","公用事业"
"47",2672,"东江环保","公用事业"
"48",2700,"新疆浩源","公用事业"
"49",300055,"万邦达","公用事业"
"50",300056,"三维丝","公用事业"
"51",300070,"碧水源","公用事业"
"52",300090,"盛运环保","公用事业"
"53",300125,"易世达","公用事业"
"56",300156,"神雾环保","公用事业"
"57",300172,"中电环保","公用事业"
"58",300187,"永清环保","公用事业"
"59",300190,"维尔利","公用事业"
"61",300262,"巴安水务","公用事业"
"63",300332,"天壕环境","公用事业"
"64",300334,"津膜科技","公用事业"
"65",300335,"迪森股份","公用事业"
"66",300388,"国祯环保","公用事业"
"67",300422,"博世科","公用事业"
"68",300425,"环能科技","公用事业"
"69",300631,"久吾高科","公用事业"
"70",600008,"首创股份","公用事业"
"71",600011,"华能国际","公用事业"
"72",600021,"上海电力","公用事业"
"73",600023,"浙能电力","公用事业"
"74",600027,"华电国际","公用事业"
"75",600098,"广州发展","公用事业"
"76",600101,"明星电力","公用事业"
"77",600116,"三峡水利","公用事业"
"78",600131,"岷江水电","公用事业"
"80",600167,"联美控股","公用事业"
"81",600168,"武汉控股","公用事业"
"84",600236,"桂冠电力","公用事业"
"85",600283,"钱江水利","公用事业"
"86",600292,"远达环保","公用事业"
"87",600310,"桂东电力","公用事业"
"88",600323,"瀚蓝环境","公用事业"
"89",600333,"长春燃气","公用事业"
"91",600396,"金山股份","公用事业"
"92",600452,"涪陵电力","公用事业"
"93",600461,"洪城水业","公用事业"
"95",600505,"西昌电力","公用事业"
"96",600509,"天富能源","公用事业"
"98",600578,"京能电力","公用事业"
"101",600642,"申能股份","公用事业"
"102",600644,"乐山电力","公用事业"
"105",600674,"川投能源","公用事业"
"107",600719,"大连热电","公用事业"
"108",600726,"华电能源","公用事业"
"109",600744,"华银电力","公用事业"
"110",600758,"红阳能源","公用事业"
"113",600795,"国电电力","公用事业"
"115",600863,"内蒙华电","公用事业"
"116",600864,"哈投股份","公用事业"
"117",600868,"梅雁吉祥","公用事业"
"118",600874,"创业环保","公用事业"
"119",600886,"国投电力","公用事业"
"120",600900,"长江电力","公用事业"
"121",600917,"重庆燃气","公用事业"
"122",600969,"郴电国际","公用事业"
"123",600979,"广安爱众","公用事业"
"124",600982,"宁波热电","公用事业"
"125",600995,"文山电力","公用事业"
"126",601016,"节能风电","公用事业"
"127",601139,"深圳燃气","公用事业"
"128",601158,"重庆水务","公用事业"
"129",601199,"江南水务","公用事业"
"130",601200,"上海环境","公用事业"
"131",601368,"绿城水务","公用事业"
"132",601985,"中国核电","公用事业"
"133",601991,"大唐发电","公用事业"
"134",603126,"中材节能","公用事业"
"135",603177,"德创环保","公用事业"
"136",603393,"新天然气","公用事业"
"137",603568,"伟明环保","公用事业"
"138",603588,"高能环境","公用事业"
"139",603603,"博天环境","公用事业"
"140",603689,"皖天然气","公用事业"
"141",603797,"联泰环保","公用事业"
"142",603817,"海峡环保","公用事业"
"143",603903,"中持股份","公用事业"
