"","code","name","c_name"
"2",48,"康达尔","农林牧渔"
"7",639,"西王食品","农林牧渔"
"10",702,"正虹科技","农林牧渔"
"11",713,"丰乐种业","农林牧渔"
"12",735,"罗 牛 山","农林牧渔"
"13",798,"中水渔业","农林牧渔"
"15",876,"新 希 望","农林牧渔"
"19",930,"中粮生化","农林牧渔"
"20",972,"*ST中基","农林牧渔"
"21",998,"隆平高科","农林牧渔"
"22",2041,"登海种业","农林牧渔"
"23",2069,"獐子岛","农林牧渔"
"24",2086,"东方海洋","农林牧渔"
"26",2124,"天邦股份","农林牧渔"
"28",2157,"正邦科技","农林牧渔"
"29",2173,"创新医疗","农林牧渔"
"32",2234,"民和股份","农林牧渔"
"34",2299,"圣农发展","农林牧渔"
"36",2311,"海大集团","农林牧渔"
"37",2321,"华英农业","农林牧渔"
"38",2385,"大北农","农林牧渔"
"39",2447,"壹桥股份","农林牧渔"
"40",2458,"益生股份","农林牧渔"
"41",2477,"雏鹰农牧","农林牧渔"
"42",2505,"大康农业","农林牧渔"
"43",2548,"金新农","农林牧渔"
"44",2567,"唐人神","农林牧渔"
"46",2679,"福建金森","农林牧渔"
"47",2688,"金河生物","农林牧渔"
"48",2696,"百洋股份","农林牧渔"
"49",2714,"牧原股份","农林牧渔"
"50",2746,"仙坛股份","农林牧渔"
"51",2772,"众兴菌业","农林牧渔"
"52",2852,"道道全","农林牧渔"
"53",300021,"大禹节水","农林牧渔"
"54",300087,"荃银高科","农林牧渔"
"55",300094,"国联水产","农林牧渔"
"56",300106,"西部牧业","农林牧渔"
"59",300143,"星河生物","农林牧渔"
"61",300175,"朗源股份","农林牧渔"
"62",300189,"神农基因","农林牧渔"
"63",300268,"万福生科","农林牧渔"
"64",300313,"天山生物","农林牧渔"
"65",300498,"温氏股份","农林牧渔"
"66",300511,"雪榕生物","农林牧渔"
"68",600097,"开创国际","农林牧渔"
"69",600108,"亚盛集团","农林牧渔"
"70",600127,"金健米业","农林牧渔"
"72",600189,"吉林森工","农林牧渔"
"81",600257,"大湖股份","农林牧渔"
"82",600265,"ST景谷","农林牧渔"
"86",600313,"农发种业","农林牧渔"
"87",600354,"敦煌种业","农林牧渔"
"88",600359,"新农开发","农林牧渔"
"89",600371,"万向德农","农林牧渔"
"90",600438,"通威股份","农林牧渔"
"91",600467,"好当家","农林牧渔"
"92",600506,"香梨股份","农林牧渔"
"95",600540,"新赛股份","农林牧渔"
"97",600598,"北大荒","农林牧渔"
"98",600695,"绿庭投资","农林牧渔"
"100",600737,"中粮糖业","农林牧渔"
"103",600965,"福成股份","农林牧渔"
"104",600975,"新五丰","农林牧渔"
"105",601118,"海南橡胶","农林牧渔"
"106",603336,"宏辉果蔬","农林牧渔"
"107",603566,"普莱柯","农林牧渔"
"108",603609,"禾丰牧业","农林牧渔"
"109",603668,"天马科技","农林牧渔"
"110",603718,"海利生物","农林牧渔"
