"","code","name","c_name"
"3",59,"华锦股份","化工"
"4",96,"广聚能源","化工"
"5",155,"*ST川化","化工"
"8",420,"吉林化纤","化工"
"9",422,"湖北宜化","化工"
"11",510,"金路集团","化工"
"12",523,"广州浪奇","化工"
"13",525,"红 太 阳","化工"
"15",553,"沙隆达Ａ","化工"
"16",554,"泰山石油","化工"
"17",565,"渝三峡Ａ","化工"
"18",584,"友利控股","化工"
"19",589,"黔轮胎Ａ","化工"
"21",599,"青岛双星","化工"
"25",635,"英 力 特","化工"
"26",637,"茂化实华","化工"
"27",662,"天夏智慧","化工"
"30",677,"恒天海龙","化工"
"33",698,"沈阳化工","化工"
"35",707,"双环科技","化工"
"36",731,"四川美丰","化工"
"38",737,"南风化工","化工"
"39",755,"*ST三维","化工"
"40",782,"美达股份","化工"
"42",792,"盐湖股份","化工"
"43",818,"方大化工","化工"
"44",819,"岳阳兴长","化工"
"45",822,"山东海化","化工"
"46",830,"鲁西化工","化工"
"49",859,"国风塑业","化工"
"52",912,"泸天化","化工"
"53",936,"华西股份","化工"
"54",949,"新乡化纤","化工"
"55",950,"*ST建峰","化工"
"56",953,"*ST河化","化工"
"57",973,"佛塑科技","化工"
"58",976,"春晖股份","化工"
"60",985,"大庆华科","化工"
"61",2002,"鸿达兴业","化工"
"63",2010,"传化智联","化工"
"64",2015,"霞客环保","化工"
"65",2018,"华信国际","化工"
"66",2037,"久联发展","化工"
"67",2053,"云南能投","化工"
"68",2054,"德美化工","化工"
"69",2061,"江山化工","化工"
"70",2064,"华峰氨纶","化工"
"71",2068,"黑猫股份","化工"
"72",2080,"中材科技","化工"
"74",2092,"中泰化学","化工"
"75",2096,"南岭民爆","化工"
"76",2108,"沧州明珠","化工"
"77",2109,"兴化股份","化工"
"79",2125,"湘潭电化","化工"
"82",2136,"安 纳 达","化工"
"83",2145,"中核钛白","化工"
"84",2165,"红 宝 丽","化工"
"86",2170,"芭田股份","化工"
"87",2172,"澳洋科技","化工"
"89",2201,"九鼎新材","化工"
"90",2206,"海 利 得","化工"
"91",2211,"宏达新材","化工"
"92",2215,"诺 普 信","化工"
"94",2221,"东华能源","化工"
"95",2224,"三 力 士","化工"
"96",2226,"江南化工","化工"
"98",2246,"北化股份","化工"
"99",2250,"联化科技","化工"
"100",2254,"泰和新材","化工"
"101",2256,"兆新股份","化工"
"102",2258,"利尔化学","化工"
"104",2274,"华昌化工","化工"
"105",2319,"乐通股份","化工"
"106",2324,"普利特","化工"
"107",2326,"永太科技","化工"
"109",2360,"同德化工","化工"
"110",2361,"神剑股份","化工"
"111",2377,"国创高新","化工"
"112",2381,"双箭股份","化工"
"113",2382,"蓝帆医疗","化工"
"114",2386,"天原集团","化工"
"115",2391,"长青股份","化工"
"116",2395,"双象股份","化工"
"117",2407,"多氟多","化工"
"118",2408,"齐翔腾达","化工"
"119",2409,"雅克科技","化工"
"121",2427,"尤夫股份","化工"
"122",2440,"闰土股份","化工"
"123",2442,"龙星化工","化工"
"124",2450,"康得新","化工"
"125",2453,"天马精化","化工"
"126",2455,"百川股份","化工"
"127",2464,"金利科技","化工"
"128",2470,"金正大","化工"
"129",2476,"宝莫股份","化工"
"130",2493,"荣盛石化","化工"
"131",2496,"辉丰股份","化工"
"132",2497,"雅化集团","化工"
"133",2513,"蓝丰生化","化工"
"134",2538,"司尔特","化工"
"135",2539,"云图控股","化工"
"138",2562,"兄弟科技","化工"
"140",2584,"西陇科学","化工"
"141",2588,"史丹利","化工"
"142",2591,"恒大高新","化工"
"143",2597,"金禾实业","化工"
"144",2601,"龙蟒佰利","化工"
"145",2632,"道明光学","化工"
"146",2637,"赞宇科技","化工"
"147",2643,"万润股份","化工"
"148",2648,"卫星石化","化工"
"149",2666,"德联集团","化工"
"150",2669,"康达新材","化工"
"151",2683,"宏大爆破","化工"
"152",2709,"天赐材料","化工"
"153",2734,"利民股份","化工"
"154",2741,"光华科技","化工"
"155",2748,"世龙实业","化工"
"156",2749,"国光股份","化工"
"157",2753,"永东股份","化工"
"158",2768,"国恩股份","化工"
"159",2778,"高科石化","化工"
"160",2783,"凯龙股份","化工"
"161",2802,"洪汇新材","化工"
"162",2805,"丰元股份","化工"
"163",2809,"红墙股份","化工"
"164",2810,"山东赫达","化工"
"165",2827,"高争民爆","化工"
"166",2838,"道恩股份","化工"
"167",300019,"硅宝科技","化工"
"168",300031,"宝通科技","化工"
"169",300037,"新宙邦","化工"
"170",300041,"回天新材","化工"
"171",300054,"鼎龙股份","化工"
"173",300067,"安诺其","化工"
"174",300072,"三聚环保","化工"
"175",300073,"当升科技","化工"
"176",300082,"奥克股份","化工"
"177",300107,"建新股份","化工"
"178",300108,"双龙股份","化工"
"179",300109,"新开源","化工"
"181",300121,"阳谷华泰","化工"
"182",300132,"青松股份","化工"
"183",300135,"宝利国际","化工"
"184",300163,"先锋新材","化工"
"185",300169,"天晟新材","化工"
"186",300174,"元力股份","化工"
"187",300180,"华峰超纤","化工"
"188",300192,"科斯伍德","化工"
"189",300196,"长海股份","化工"
"190",300200,"高盟新材","化工"
"191",300214,"日科化学","化工"
"192",300218,"安利股份","化工"
"193",300221,"银禧科技","化工"
"194",300225,"金力泰","化工"
"195",300230,"永利股份","化工"
"196",300236,"上海新阳","化工"
"197",300243,"瑞丰高材","化工"
"198",300285,"国瓷材料","化工"
"199",300305,"裕兴股份","化工"
"200",300320,"海达股份","化工"
"201",300321,"同大股份","化工"
"202",300325,"德威新材","化工"
"204",300387,"富邦股份","化工"
"205",300398,"飞凯材料","化工"
"206",300405,"科隆精化","化工"
"207",300409,"道氏技术","化工"
"208",300429,"强力新材","化工"
"209",300437,"清水源","化工"
"210",300459,"金科娱乐","化工"
"211",300478,"杭州高新","化工"
"212",300481,"濮阳惠成","化工"
"213",300487,"蓝晓科技","化工"
"214",300505,"川金诺","化工"
"215",300522,"世名科技","化工"
"216",300530,"达志科技","化工"
"217",300535,"达威股份","化工"
"218",300537,"广信材料","化工"
"219",300539,"横河模具","化工"
"220",300568,"星源材质","化工"
"221",300575,"中旗股份","化工"
"222",300576,"容大感光","化工"
"223",300586,"美联新材","化工"
"224",300587,"天铁股份","化工"
"225",300596,"利安隆","化工"
"226",300610,"晨化股份","化工"
"227",300637,"扬帆新材","化工"
"228",300641,"正丹股份","化工"
"229",600028,"中国石化","化工"
"231",600063,"皖维高新","化工"
"233",600075,"新疆天业","化工"
"234",600078,"澄星股份","化工"
"235",600091,"ST明科","化工"
"237",600096,"云天化","化工"
"238",600141,"兴发集团","化工"
"239",600143,"金发科技","化工"
"241",600155,"宝硕股份","化工"
"243",600160,"巨化股份","化工"
"244",600176,"中国巨石","化工"
"245",600182,"S佳通","化工"
"246",600227,"赤天化","化工"
"247",600228,"*ST昌九","化工"
"249",600230,"沧州大化","化工"
"250",600249,"两面针","化工"
"252",600256,"广汇能源","化工"
"256",600281,"太化股份","化工"
"257",600299,"安迪苏","化工"
"258",600301,"ST南化","化工"
"259",600309,"万华化学","化工"
"260",600315,"上海家化","化工"
"261",600319,"亚星化学","化工"
"262",600328,"兰太实业","化工"
"263",600339,"*ST油工","化工"
"264",600352,"浙江龙盛","化工"
"265",600367,"红星发展","化工"
"266",600378,"天科股份","化工"
"267",600387,"海越股份","化工"
"268",600389,"江山股份","化工"
"269",600409,"三友化工","化工"
"270",600423,"柳化股份","化工"
"271",600426,"华鲁恒升","化工"
"272",600444,"国机通用","化工"
"273",600458,"时代新材","化工"
"274",600469,"风神股份","化工"
"275",600470,"六国化工","化工"
"277",600486,"扬农化工","化工"
"280",600527,"江南高纤","化工"
"284",600589,"广东榕泰","化工"
"285",600596,"新安股份","化工"
"287",600618,"氯碱化工","化工"
"288",600623,"华谊集团","化工"
"290",600636,"*ST爱富","化工"
"293",600688,"上海石化","化工"
"297",600722,"金牛化工","化工"
"298",600725,"ST云维","化工"
"299",600727,"鲁北化工","化工"
"300",600731,"湖南海利","化工"
"301",600746,"江苏索普","化工"
"305",600810,"神马股份","化工"
"310",600889,"南京化纤","化工"
"311",600985,"雷鸣科化","化工"
"312",601058,"赛轮金宇","化工"
"313",601113,"华鼎股份","化工"
"314",601163,"三角轮胎","化工"
"315",601208,"东材科技","化工"
"316",601216,"君正集团","化工"
"317",601233,"桐昆股份","化工"
"318",601500,"通用股份","化工"
"319",601678,"滨化股份","化工"
"320",601966,"玲珑轮胎","化工"
"321",603002,"宏昌电子","化工"
"322",603003,"龙宇燃油","化工"
"323",603010,"万盛股份","化工"
"324",603026,"石大胜华","化工"
"325",603033,"三维股份","化工"
"326",603041,"美思德","化工"
"327",603067,"振华股份","化工"
"328",603077,"和邦生物","化工"
"329",603078,"江化微","化工"
"330",603133,"碳元科技","化工"
"331",603188,"亚邦股份","化工"
"332",603225,"新凤鸣","化工"
"333",603227,"雪峰科技","化工"
"334",603266,"天龙股份","化工"
"335",603299,"井神股份","化工"
"336",603330,"上海天洋","化工"
"337",603360,"百傲化学","化工"
"338",603585,"苏利股份","化工"
"339",603599,"广信股份","化工"
"340",603601,"再升科技","化工"
"341",603615,"茶花股份","化工"
"342",603630,"拉芳家化","化工"
"343",603639,"海利尔","化工"
"344",603737,"三棵树","化工"
"345",603798,"康普顿","化工"
"346",603822,"嘉澳环保","化工"
"347",603823,"百合花","化工"
"348",603906,"龙蟠科技","化工"
"349",603928,"兴业股份","化工"
"350",603968,"醋化股份","化工"
"351",603991,"至正股份","化工"
