"","code","name","c_name"
"2",28,"国药一致","医药生物"
"3",78,"海王生物","医药生物"
"5",153,"丰原药业","医药生物"
"6",403,"ST生化","医药生物"
"9",423,"东阿阿胶","医药生物"
"11",513,"丽珠集团","医药生物"
"13",538,"云南白药","医药生物"
"15",566,"海南海药","医药生物"
"16",590,"启迪古汉","医药生物"
"18",597,"东北制药","医药生物"
"25",650,"仁和药业","医药生物"
"26",661,"长春高新","医药生物"
"28",705,"浙江震元","医药生物"
"29",739,"普洛药业","医药生物"
"30",756,"新华制药","医药生物"
"31",766,"通化金马","医药生物"
"32",788,"北大医药","医药生物"
"33",790,"泰合健康","医药生物"
"37",919,"金陵药业","医药生物"
"38",952,"广济药业","医药生物"
"39",963,"华东医药","医药生物"
"40",989,"九 芝 堂","医药生物"
"41",990,"诚志股份","医药生物"
"42",999,"华润三九","医药生物"
"43",2001,"新 和 成","医药生物"
"45",2007,"华兰生物","医药生物"
"47",2019,"亿帆医药","医药生物"
"48",2020,"京新药业","医药生物"
"49",2022,"科华生物","医药生物"
"50",2030,"达安基因","医药生物"
"51",2038,"双鹭药业","医药生物"
"53",2099,"海翔药业","医药生物"
"55",2107,"沃华医药","医药生物"
"56",2118,"紫鑫药业","医药生物"
"57",2166,"莱茵生物","医药生物"
"58",2198,"嘉应制药","医药生物"
"59",2219,"恒康医疗","医药生物"
"60",2223,"鱼跃医疗","医药生物"
"61",2252,"上海莱士","医药生物"
"62",2262,"恩华药业","医药生物"
"63",2275,"桂林三金","医药生物"
"64",2287,"奇正藏药","医药生物"
"65",2294,"信立泰","医药生物"
"66",2317,"众生药业","医药生物"
"67",2332,"仙琚制药","医药生物"
"68",2349,"精华制药","医药生物"
"69",2365,"永安药业","医药生物"
"70",2370,"亚太药业","医药生物"
"71",2390,"信邦制药","医药生物"
"72",2393,"力生制药","医药生物"
"73",2399,"海普瑞","医药生物"
"75",2412,"汉森制药","医药生物"
"76",2422,"科伦药业","医药生物"
"77",2424,"贵州百灵","医药生物"
"78",2432,"九安医疗","医药生物"
"79",2433,"太安堂","医药生物"
"80",2437,"誉衡药业","医药生物"
"81",2462,"嘉事堂","医药生物"
"82",2550,"千红制药","医药生物"
"83",2551,"尚荣医疗","医药生物"
"84",2566,"益盛药业","医药生物"
"86",2589,"瑞康医药","医药生物"
"87",2603,"以岭药业","医药生物"
"88",2626,"金达威","医药生物"
"89",2644,"佛慈制药","医药生物"
"90",2653,"海思科","医药生物"
"91",2675,"东诚药业","医药生物"
"93",2693,"双成药业","医药生物"
"94",2727,"一心堂","医药生物"
"95",2728,"特一药业","医药生物"
"96",2737,"葵花药业","医药生物"
"97",2750,"龙津药业","医药生物"
"98",2758,"华通医药","医药生物"
"99",2773,"康弘药业","医药生物"
"100",2788,"鹭燕医药","医药生物"
"101",2817,"黄山胶囊","医药生物"
"102",2821,"凯莱英","医药生物"
"103",2826,"易明医药","医药生物"
"104",300003,"乐普医疗","医药生物"
"105",300006,"莱美药业","医药生物"
"106",300009,"安科生物","医药生物"
"107",300015,"爱尔眼科","医药生物"
"108",300016,"北陆药业","医药生物"
"109",300026,"红日药业","医药生物"
"110",300030,"阳普医疗","医药生物"
"111",300039,"上海凯宝","医药生物"
"112",300049,"福瑞股份","医药生物"
"113",300086,"康芝药业","医药生物"
"114",300110,"华仁药业","医药生物"
"116",300122,"智飞生物","医药生物"
"117",300142,"沃森生物","医药生物"
"119",300147,"香雪制药","医药生物"
"120",300158,"振东制药","医药生物"
"121",300171,"东富龙","医药生物"
"122",300181,"佐力药业","医药生物"
"123",300194,"福安药业","医药生物"
"124",300199,"翰宇药业","医药生物"
"125",300204,"舒泰神","医药生物"
"126",300206,"理邦仪器","医药生物"
"127",300216,"千山药机","医药生物"
"128",300233,"金城医药","医药生物"
"129",300238,"冠昊生物","医药生物"
"130",300239,"东宝生物","医药生物"
"131",300244,"迪安诊断","医药生物"
"132",300246,"宝莱特","医药生物"
"133",300254,"仟源医药","医药生物"
"134",300255,"常山药业","医药生物"
"135",300261,"雅本化学","医药生物"
"136",300267,"尔康制药","医药生物"
"137",300273,"和佳股份","医药生物"
"138",300289,"利德曼","医药生物"
"139",300294,"博雅生物","医药生物"
"140",300298,"三诺生物","医药生物"
"141",300314,"戴维医疗","医药生物"
"142",300318,"博晖创新","医药生物"
"143",300326,"凯利泰","医药生物"
"144",300347,"泰格医药","医药生物"
"145",300357,"我武生物","医药生物"
"146",300358,"楚天科技","医药生物"
"147",300363,"博腾股份","医药生物"
"148",300381,"溢多利","医药生物"
"149",300396,"迪瑞医疗","医药生物"
"150",300401,"花园生物","医药生物"
"151",300404,"博济医药","医药生物"
"152",300406,"九强生物","医药生物"
"153",300412,"迦南科技","医药生物"
"154",300436,"广生堂","医药生物"
"155",300439,"美康生物","医药生物"
"156",300452,"山河药辅","医药生物"
"157",300453,"三鑫医疗","医药生物"
"158",300463,"迈克生物","医药生物"
"159",300482,"万孚生物","医药生物"
"160",300485,"赛升药业","医药生物"
"161",300497,"富祥股份","医药生物"
"162",300519,"新光药业","医药生物"
"163",300529,"健帆生物","医药生物"
"164",300534,"陇神戎发","医药生物"
"165",300558,"贝达药业","医药生物"
"166",300562,"乐心医疗","医药生物"
"167",300573,"兴齐眼药","医药生物"
"168",300583,"赛托生物","医药生物"
"169",300584,"海辰药业","医药生物"
"170",300595,"欧普康视","医药生物"
"171",300601,"康泰生物","医药生物"
"172",300630,"普利制药","医药生物"
"173",300633,"开立医疗","医药生物"
"174",300636,"同和药业","医药生物"
"175",300639,"凯普生物","医药生物"
"176",600055,"万东医疗","医药生物"
"178",600062,"华润双鹤","医药生物"
"179",600079,"人福医药","医药生物"
"180",600080,"金花股份","医药生物"
"181",600085,"同仁堂","医药生物"
"182",600129,"太极集团","医药生物"
"183",600161,"天坛生物","医药生物"
"185",600196,"复星医药","医药生物"
"188",600211,"西藏药业","医药生物"
"189",600216,"浙江医药","医药生物"
"190",600222,"太龙药业","医药生物"
"193",600252,"中恒集团","医药生物"
"194",600267,"海正药业","医药生物"
"196",600276,"恒瑞医药","医药生物"
"198",600285,"羚锐制药","医药生物"
"200",600329,"中新药业","医药生物"
"201",600332,"白云山","医药生物"
"202",600351,"亚宝药业","医药生物"
"203",600380,"健康元","医药生物"
"205",600420,"现代制药","医药生物"
"207",600422,"昆药集团","医药生物"
"208",600436,"片仔癀","医药生物"
"210",600479,"千金药业","医药生物"
"211",600488,"天药股份","医药生物"
"213",600511,"国药股份","医药生物"
"214",600513,"联环药业","医药生物"
"215",600518,"康美药业","医药生物"
"216",600521,"华海药业","医药生物"
"217",600529,"山东药玻","医药生物"
"218",600530,"交大昂立","医药生物"
"219",600535,"天士力","医药生物"
