"","code","name","c_name"
"7",408,"*ST金源","商业贸易"
"10",417,"合肥百货","商业贸易"
"11",419,"通程控股","商业贸易"
"12",501,"鄂武商Ａ","商业贸易"
"13",516,"国际医学","商业贸易"
"14",560,"昆百大Ａ","商业贸易"
"15",564,"供销大集","商业贸易"
"20",715,"中兴商业","商业贸易"
"22",759,"中百集团","商业贸易"
"23",785,"武汉中商","商业贸易"
"25",829,"天音控股","商业贸易"
"27",882,"华联股份","商业贸易"
"29",987,"越秀金控","商业贸易"
"30",2024,"苏宁云商","商业贸易"
"31",2091,"江苏国泰","商业贸易"
"33",2187,"广百股份","商业贸易"
"34",2251,"步 步 高","商业贸易"
"35",2264,"新 华 都","商业贸易"
"36",2277,"友阿股份","商业贸易"
"37",2336,"*ST人乐","商业贸易"
"38",2344,"海宁皮城","商业贸易"
"39",2416,"爱施德","商业贸易"
"40",2419,"天虹股份","商业贸易"
"42",2561,"徐家汇","商业贸易"
"43",2697,"红旗连锁","商业贸易"
"44",2818,"富森美","商业贸易"
"45",300022,"吉峰农机","商业贸易"
"47",300413,"快乐购","商业贸易"
"48",300622,"博士眼镜","商业贸易"
"50",600058,"五矿发展","商业贸易"
"52",600120,"浙江东方","商业贸易"
"53",600122,"宏图高科","商业贸易"
"54",600128,"弘业股份","商业贸易"
"58",600241,"时代万恒","商业贸易"
"60",600250,"南纺股份","商业贸易"
"61",600278,"东方创业","商业贸易"
"62",600280,"中央商场","商业贸易"
"63",600287,"江苏舜天","商业贸易"
"64",600306,"商业城","商业贸易"
"65",600327,"大东方","商业贸易"
"66",600361,"华联综超","商业贸易"
"67",600415,"小商品城","商业贸易"
"69",600515,"海航基础","商业贸易"
"70",600605,"汇通能源","商业贸易"
"71",600628,"新世界","商业贸易"
"72",600655,"豫园商城","商业贸易"
"73",600682,"南京新百","商业贸易"
"75",600693,"东百集团","商业贸易"
"76",600694,"大商股份","商业贸易"
"77",600697,"欧亚集团","商业贸易"
"78",600704,"物产中大","商业贸易"
"79",600712,"南宁百货","商业贸易"
"80",600723,"首商股份","商业贸易"
"81",600729,"重庆百货","商业贸易"
"83",600738,"兰州民百","商业贸易"
"85",600755,"厦门国贸","商业贸易"
"86",600774,"汉商集团","商业贸易"
"87",600778,"友好集团","商业贸易"
"88",600785,"新华百货","商业贸易"
"89",600790,"轻纺城","商业贸易"
"90",600814,"杭州解百","商业贸易"
"91",600821,"津劝业","商业贸易"
"92",600822,"上海物贸","商业贸易"
"93",600824,"益民集团","商业贸易"
"94",600826,"兰生股份","商业贸易"
"95",600827,"百联股份","商业贸易"
"96",600828,"茂业商业","商业贸易"
"97",600838,"上海九百","商业贸易"
"99",600857,"宁波中百","商业贸易"
"100",600858,"银座股份","商业贸易"
"101",600859,"王府井","商业贸易"
"102",600861,"北京城乡","商业贸易"
"103",600865,"百大集团","商业贸易"
"104",600891,"秋林集团","商业贸易"
"105",600898,"三联商社","商业贸易"
"106",600981,"汇鸿集团","商业贸易"
"107",601010,"文峰股份","商业贸易"
"108",601116,"三江购物","商业贸易"
"109",601366,"利群股份","商业贸易"
"110",601933,"永辉超市","商业贸易"
"111",603101,"汇嘉时代","商业贸易"
"112",603123,"翠微股份","商业贸易"
"113",603708,"家家悦","商业贸易"
"114",603900,"通灵珠宝","商业贸易"
"115",603977,"国泰集团","商业贸易"
