"","code","name","c_name"
"1",738,"航发控制","国防军工"
"2",768,"中航飞机","国防军工"
"4",2013,"中航机电","国防军工"
"5",2023,"海特高新","国防军工"
"6",2151,"北斗星通","国防军工"
"9",2608,"江苏国信","国防军工"
"10",2829,"星网宇达","国防军工"
"11",300008,"天海防务","国防军工"
"12",300101,"振芯科技","国防军工"
"13",300123,"太阳鸟","国防军工"
"14",300424,"航新科技","国防军工"
"15",300456,"耐威科技","国防军工"
"16",300474,"景嘉微","国防军工"
"17",300527,"华舟应急","国防军工"
"18",300581,"晨曦航空","国防军工"
"19",300589,"江龙船艇","国防军工"
"20",600038,"中直股份","国防军工"
"21",600072,"中船科技","国防军工"
"22",600118,"中国卫星","国防军工"
"23",600150,"中国船舶","国防军工"
"24",600184,"光电股份","国防军工"
"25",600316,"洪都航空","国防军工"
"26",600343,"航天动力","国防军工"
"27",600372,"中航电子","国防军工"
"28",600391,"成发科技","国防军工"
"29",600435,"北方导航","国防军工"
"31",600677,"航天通信","国防军工"
"32",600685,"中船防务","国防军工"
"33",600760,"中航黑豹","国防军工"
"35",600879,"航天电子","国防军工"
"36",600893,"中航动力","国防军工"
"37",600990,"四创电子","国防军工"
"38",601890,"亚星锚链","国防军工"
"39",601989,"中国重工","国防军工"
