"","code","name","c_name"
"1",16,"深康佳Ａ","家用电器"
"3",100,"TCL 集团","家用电器"
"4",333,"美的集团","家用电器"
"5",404,"华意压缩","家用电器"
"6",418,"小天鹅Ａ","家用电器"
"7",521,"美菱电器","家用电器"
"8",533,"万 家 乐","家用电器"
"11",651,"格力电器","家用电器"
"16",921,"海信科龙","家用电器"
"18",2011,"盾安环境","家用电器"
"19",2032,"苏 泊 尔","家用电器"
"20",2035,"华帝股份","家用电器"
"21",2050,"三花智控","家用电器"
"22",2052,"同洲电子","家用电器"
"24",2242,"九阳股份","家用电器"
"25",2260,"德奥通航","家用电器"
"26",2290,"中科新材","家用电器"
"28",2403,"爱仕达","家用电器"
"29",2413,"雷科防务","家用电器"
"30",2418,"康盛股份","家用电器"
"31",2420,"毅昌股份","家用电器"
"32",2429,"兆驰股份","家用电器"
"33",2473,"圣莱达","家用电器"
"34",2508,"老板电器","家用电器"
"35",2519,"银河电子","家用电器"
"36",2543,"万和电气","家用电器"
"37",2614,"蒙发利","家用电器"
"38",2616,"长青集团","家用电器"
"39",2668,"奥马电器","家用电器"
"40",2670,"国盛金控","家用电器"
"41",2676,"顺威股份","家用电器"
"42",2677,"浙江美大","家用电器"
"43",2681,"奋达科技","家用电器"
"44",2705,"新宝股份","家用电器"
"45",2723,"金莱特","家用电器"
"46",2759,"天际股份","家用电器"
"47",2848,"高斯贝尔","家用电器"
"48",2860,"星帅尔","家用电器"
"49",300160,"秀强股份","家用电器"
"50",300217,"东方电热","家用电器"
"51",300247,"乐金健康","家用电器"
"52",300249,"依米康","家用电器"
"53",300272,"开能环保","家用电器"
"54",300342,"天银机电","家用电器"
"55",300403,"地尔汉宇","家用电器"
"56",300475,"聚隆科技","家用电器"
"57",600060,"海信电器","家用电器"
"59",600336,"澳柯玛","家用电器"
"60",600619,"海立股份","家用电器"
"62",600690,"青岛海尔","家用电器"
"63",600839,"四川长虹","家用电器"
"64",600854,"春兰股份","家用电器"
"65",600870,"厦华电子","家用电器"
"66",600983,"惠而浦","家用电器"
"67",603355,"莱克电气","家用电器"
"68",603366,"日出东方","家用电器"
"69",603519,"立霸股份","家用电器"
"70",603578,"三星新材","家用电器"
"71",603677,"奇精机械","家用电器"
"72",603726,"朗迪集团","家用电器"
"73",603868,"飞科电器","家用电器"
"74",603996,"中新科技","家用电器"
