"","code","name","c_name"
"1",12,"南 玻Ａ","建筑材料"
"2",23,"深天地Ａ","建筑材料"
"3",401,"冀东水泥","建筑材料"
"6",619,"海螺型材","建筑材料"
"8",786,"北新建材","建筑材料"
"9",789,"万年青","建筑材料"
"10",877,"天山股份","建筑材料"
"11",885,"同力水泥","建筑材料"
"12",935,"四川双马","建筑材料"
"13",2043,"兔 宝 宝","建筑材料"
"14",2066,"瑞泰科技","建筑材料"
"15",2082,"栋梁新材","建筑材料"
"17",2162,"悦心健康","建筑材料"
"18",2163,"中航三鑫","建筑材料"
"19",2205,"国统股份","建筑材料"
"20",2225,"濮耐股份","建筑材料"
"21",2233,"塔牌集团","建筑材料"
"22",2271,"东方雨虹","建筑材料"
"23",2302,"西部建设","建筑材料"
"24",2314,"南山控股","建筑材料"
"26",2333,"罗普斯金","建筑材料"
"27",2346,"柘中股份","建筑材料"
"28",2372,"伟星新材","建筑材料"
"29",2392,"北京利尔","建筑材料"
"30",2398,"建研集团","建筑材料"
"31",2457,"青龙管业","建筑材料"
"33",2596,"海南瑞泽","建筑材料"
"35",2623,"亚玛顿","建筑材料"
"37",2641,"永高股份","建筑材料"
"38",2652,"扬子新材","建筑材料"
"39",2671,"龙泉股份","建筑材料"
"40",2694,"顾地科技","建筑材料"
"41",2718,"友邦吊顶","建筑材料"
"42",2742,"三圣股份","建筑材料"
"43",2785,"万里石","建筑材料"
"44",2791,"坚朗五金","建筑材料"
"45",2795,"永和智控","建筑材料"
"46",300093,"金刚玻璃","建筑材料"
"47",300117,"嘉寓股份","建筑材料"
"48",300198,"纳川股份","建筑材料"
"49",300234,"开尔新材","建筑材料"
"50",300344,"太空板业","建筑材料"
"51",300374,"恒通科技","建筑材料"
"53",300547,"川环科技","建筑材料"
"54",300599,"雄塑科技","建筑材料"
"57",600293,"三峡新材","建筑材料"
"58",600318,"新力金融","建筑材料"
"59",600321,"国栋建设","建筑材料"
"60",600425,"*ST青松","建筑材料"
"61",600449,"宁夏建材","建筑材料"
"62",600539,"狮头股份","建筑材料"
"63",600552,"凯盛科技","建筑材料"
"65",600585,"海螺水泥","建筑材料"
"66",600586,"金晶科技","建筑材料"
"68",600668,"尖峰集团","建筑材料"
"69",600678,"四川金顶","建筑材料"
"70",600720,"祁连山","建筑材料"
"72",600801,"华新水泥","建筑材料"
"73",600802,"福建水泥","建筑材料"
"74",600819,"耀皮玻璃","建筑材料"
"75",600876,"洛阳玻璃","建筑材料"
"76",600881,"亚泰集团","建筑材料"
"78",601636,"旗滨集团","建筑材料"
"79",601992,"金隅股份","建筑材料"
"80",603038,"华立股份","建筑材料"
"81",603616,"韩建河山","建筑材料"
