"","code","name","c_name"
"4",65,"北方国际","建筑装饰"
"8",2051,"中工国际","建筑装饰"
"9",2060,"粤 水 电","建筑装饰"
"10",2062,"宏润建设","建筑装饰"
"11",2081,"金 螳 螂","建筑装饰"
"12",2116,"中国海诚","建筑装饰"
"13",2135,"东南网架","建筑装饰"
"14",2140,"东华科技","建筑装饰"
"15",2178,"延华智能","建筑装饰"
"17",2307,"北新路桥","建筑装饰"
"19",2325,"洪涛股份","建筑装饰"
"20",2375,"亚厦股份","建筑装饰"
"21",2431,"棕榈股份","建筑装饰"
"22",2469,"三维工程","建筑装饰"
"23",2482,"广田集团","建筑装饰"
"25",2524,"光正集团","建筑装饰"
"26",2541,"鸿路钢构","建筑装饰"
"27",2542,"中化岩土","建筑装饰"
"29",2586,"围海股份","建筑装饰"
"30",2620,"瑞和股份","建筑装饰"
"31",2628,"成都路桥","建筑装饰"
"32",2659,"中泰桥梁","建筑装饰"
"33",2663,"普邦股份","建筑装饰"
"34",2713,"东易日盛","建筑装饰"
"35",2717,"岭南园林","建筑装饰"
"36",2743,"富煌钢构","建筑装饰"
"37",2755,"东方新星","建筑装饰"
"38",2775,"文科园林","建筑装饰"
"39",2781,"奇信股份","建筑装饰"
"40",2789,"建艺集团","建筑装饰"
"41",2811,"亚泰国际","建筑装饰"
"42",2822,"中装建设","建筑装饰"
"43",2830,"名雕股份","建筑装饰"
"44",2856,"美芝股份","建筑装饰"
"45",300197,"铁汉生态","建筑装饰"
"46",300284,"苏交科","建筑装饰"
"47",300355,"蒙草生态","建筑装饰"
"48",300492,"山鼎设计","建筑装饰"
"49",300495,"美尚生态","建筑装饰"
"50",300500,"启迪设计","建筑装饰"
"51",300506,"名家汇","建筑装饰"
"52",300517,"海波重科","建筑装饰"
"53",300536,"农尚环境","建筑装饰"
"54",300592,"华凯创意","建筑装饰"
"55",300621,"维业股份","建筑装饰"
"56",300635,"达安股份","建筑装饰"
"57",600039,"四川路桥","建筑装饰"
"58",600068,"葛洲坝","建筑装饰"
"59",600170,"上海建工","建筑装饰"
"62",600284,"浦东建设","建筑装饰"
"63",600326,"西藏天路","建筑装饰"
"65",600477,"杭萧钢构","建筑装饰"
"66",600491,"龙元建设","建筑装饰"
"67",600496,"精工钢构","建筑装饰"
"68",600502,"安徽水利","建筑装饰"
"69",600512,"腾达建设","建筑装饰"
"70",600528,"中铁工业","建筑装饰"
"71",600545,"新疆城建","建筑装饰"
"75",600820,"隧道股份","建筑装饰"
"76",600853,"龙建股份","建筑装饰"
"77",600939,"重庆建工","建筑装饰"
"78",600970,"中材国际","建筑装饰"
"79",600986,"科达股份","建筑装饰"
"80",601117,"中国化学","建筑装饰"
"81",601186,"中国铁建","建筑装饰"
"82",601226,"华电重工","建筑装饰"
"83",601390,"中国中铁","建筑装饰"
"84",601611,"中国核建","建筑装饰"
"85",601618,"中国中冶","建筑装饰"
"86",601668,"中国建筑","建筑装饰"
"87",601669,"中国电建","建筑装饰"
"88",601789,"宁波建工","建筑装饰"
"89",601800,"中国交建","建筑装饰"
"90",601886,"江河集团","建筑装饰"
"91",603007,"花王股份","建筑装饰"
"92",603017,"中衡设计","建筑装饰"
"93",603018,"中设集团","建筑装饰"
"94",603030,"全筑股份","建筑装饰"
"95",603098,"森特股份","建筑装饰"
"96",603388,"元成股份","建筑装饰"
"97",603637,"镇海股份","建筑装饰"
"98",603698,"航天工程","建筑装饰"
"99",603717,"天域生态","建筑装饰"
"100",603778,"乾景园林","建筑装饰"
"101",603828,"柯利达","建筑装饰"
"102",603843,"正平股份","建筑装饰"
"103",603887,"城地股份","建筑装饰"
"104",603909,"合诚股份","建筑装饰"
"105",603929,"亚翔集成","建筑装饰"
"106",603955,"大千生态","建筑装饰"
"107",603959,"百利科技","建筑装饰"
