"","code","name","c_name"
"1",2,"万 科Ａ","房地产"
"3",5,"世纪星源","房地产"
"7",11,"深物业A","房地产"
"8",14,"沙河股份","房地产"
"10",29,"深深房Ａ","房地产"
"11",31,"中粮地产","房地产"
"15",42,"中洲控股","房地产"
"16",43,"中航地产","房地产"
"17",46,"泛海控股","房地产"
"20",90,"天健集团","房地产"
"22",402,"金 融 街","房地产"
"23",502,"绿景控股","房地产"
"24",505,"*ST珠江","房地产"
"27",514,"渝 开 发","房地产"
"28",517,"荣安地产","房地产"
"31",537,"广宇发展","房地产"
"32",540,"中天金融","房地产"
"34",558,"莱茵体育","房地产"
"35",567,"海德股份","房地产"
"36",573,"粤宏远Ａ","房地产"
"38",608,"阳光股份","房地产"
"39",609,"绵石投资","房地产"
"41",616,"海航投资","房地产"
"44",631,"顺发恒业","房地产"
"45",638,"万方发展","房地产"
"46",656,"金科股份","房地产"
"47",667,"美好置业","房地产"
"50",671,"阳 光 城","房地产"
"55",718,"苏宁环球","房地产"
"57",736,"中房地产","房地产"
"59",797,"中国武夷","房地产"
"64",863,"三湘印象","房地产"
"66",897,"津滨发展","房地产"
"69",926,"福星股份","房地产"
"70",931,"中 关 村","房地产"
"71",961,"中南建设","房地产"
"72",965,"天保基建","房地产"
"75",981,"银亿股份","房地产"
"76",1979,"招商蛇口","房地产"
"79",2077,"大港股份","房地产"
"80",2133,"广宇集团","房地产"
"81",2146,"荣盛发展","房地产"
"82",2208,"合肥城建","房地产"
"83",2244,"滨江集团","房地产"
"84",2285,"世联行","房地产"
"85",2305,"南国置业","房地产"
"86",600007,"中国国贸","房地产"
"87",600048,"保利地产","房地产"
"88",600052,"浙江广厦","房地产"
"90",600064,"南京高科","房地产"
"102",600159,"大龙地产","房地产"
"104",600173,"卧龙地产","房地产"
"106",600185,"格力地产","房地产"
"108",600208,"新湖中宝","房地产"
"109",600215,"长春经开","房地产"
"112",600239,"云南城投","房地产"
"113",600240,"华业资本","房地产"
"114",600246,"万通地产","房地产"
"116",600266,"北京城建","房地产"
"118",600322,"天房发展","房地产"
"119",600325,"华发股份","房地产"
"120",600340,"华夏幸福","房地产"
"121",600376,"首开股份","房地产"
"123",600383,"金地集团","房地产"
"124",600393,"粤泰股份","房地产"
"125",600463,"空港股份","房地产"
"128",600503,"华丽家族","房地产"
"129",600533,"栖霞建设","房地产"
"131",600565,"XD迪马股","房地产"
"135",600604,"市北高新","房地产"
"136",600606,"绿地控股","房地产"
"143",600638,"新黄浦","房地产"
"144",600639,"浦东金桥","房地产"
"145",600641,"万业企业","房地产"
"147",600648,"外高桥","房地产"
"149",600657,"信达地产","房地产"
"150",600658,"电子城","房地产"
"151",600663,"陆家嘴","房地产"
"152",600665,"天地源","房地产"
"153",600675,"中华企业","房地产"
"156",600684,"珠江实业","房地产"
"158",600696,"*ST匹凸","房地产"
"160",600716,"凤凰股份","房地产"
"162",600732,"*ST新梅","房地产"
"164",600734,"实达集团","房地产"
"165",600736,"苏州高新","房地产"
"166",600743,"华远地产","房地产"
"168",600748,"上实发展","房地产"
"175",600791,"京能置业","房地产"
"176",600807,"天业股份","房地产"
"177",600823,"世茂股份","房地产"
"180",600890,"中房股份","房地产"
"181",600895,"张江高科","房地产"
"182",601155,"新城控股","房地产"
"183",601588,"北辰实业","房地产"
