"","code","name","c_name"
"3",60,"中金岭南","有色金属"
"9",612,"焦作万方","有色金属"
"11",630,"铜陵有色","有色金属"
"13",657,"中钨高新","有色金属"
"14",688,"建新矿业","有色金属"
"15",693,"ST华泽","有色金属"
"17",751,"锌业股份","有色金属"
"18",758,"中色股份","有色金属"
"19",795,"英洛华","有色金属"
"20",807,"云铝股份","有色金属"
"22",831,"*ST五稀","有色金属"
"23",878,"云南铜业","有色金属"
"27",960,"锡业股份","有色金属"
"28",962,"东方钽业","有色金属"
"29",969,"安泰科技","有色金属"
"33",2057,"中钢天源","有色金属"
"35",2114,"罗平锌电","有色金属"
"37",2149,"西部材料","有色金属"
"38",2155,"湖南黄金","有色金属"
"39",2160,"常铝股份","有色金属"
"41",2171,"楚江新材","有色金属"
"42",2182,"云海金属","有色金属"
"43",2203,"海亮股份","有色金属"
"44",2237,"恒邦股份","有色金属"
"45",2295,"精艺股份","有色金属"
"47",2340,"格林美","有色金属"
"48",2378,"章源钨业","有色金属"
"49",2379,"*ST鲁丰","有色金属"
"50",2428,"云南锗业","有色金属"
"51",2460,"赣锋锂业","有色金属"
"52",2466,"天齐锂业","有色金属"
"53",2501,"利源精制","有色金属"
"54",2540,"亚太科技","有色金属"
"55",2578,"闽发铝业","有色金属"
"56",2600,"江粉磁材","有色金属"
"57",2716,"金贵银业","有色金属"
"58",2806,"华锋股份","有色金属"
"59",2824,"和胜股份","有色金属"
"60",2842,"翔鹭钨业","有色金属"
"61",300127,"银河磁体","有色金属"
"62",300224,"正海磁材","有色金属"
"63",300337,"银邦股份","有色金属"
"65",300428,"四通新材","有色金属"
"66",300489,"中飞股份","有色金属"
"67",300618,"寒锐钴业","有色金属"
"68",600111,"北方稀土","有色金属"
"69",600114,"XD东睦股","有色金属"
"70",600139,"西部资源","有色金属"
"73",600219,"南山铝业","有色金属"
"74",600255,"鑫科材料","有色金属"
"77",600330,"天通股份","有色金属"
"78",600331,"宏达股份","有色金属"
"79",600338,"西藏珠峰","有色金属"
"80",600362,"江西铜业","有色金属"
"83",600390,"*ST金瑞","有色金属"
"85",600432,"*ST吉恩","有色金属"
"86",600456,"宝钛股份","有色金属"
"87",600459,"贵研铂业","有色金属"
"88",600478,"科力远","有色金属"
"89",600489,"中金黄金","有色金属"
"91",600497,"驰宏锌锗","有色金属"
"93",600531,"豫光金铅","有色金属"
"94",600547,"山东黄金","有色金属"
"95",600549,"厦门钨业","有色金属"
"97",600595,"中孚实业","有色金属"
"100",600673,"东阳光科","有色金属"
"102",600711,"盛屯矿业","有色金属"
"105",600768,"宁波富邦","有色金属"
"106",600888,"新疆众和","有色金属"
"107",600961,"株冶集团","有色金属"
"108",600980,"北矿科技","有色金属"
"109",600988,"赤峰黄金","有色金属"
"110",601020,"华钰矿业","有色金属"
"111",601069,"西部黄金","有色金属"
"112",601137,"博威合金","有色金属"
"113",601168,"西部矿业","有色金属"
"114",601212,"白银有色","有色金属"
"115",601388,"怡球资源","有色金属"
"116",601600,"中国铝业","有色金属"
"117",601677,"明泰铝业","有色金属"
"118",601899,"紫金矿业","有色金属"
"119",601958,"金钼股份","有色金属"
"120",603399,"新华龙","有色金属"
"121",603663,"三祥新材","有色金属"
"122",603688,"石英股份","有色金属"
"123",603799,"华友钴业","有色金属"
"124",603826,"坤彩科技","有色金属"
"125",603993,"洛阳钼业","有色金属"
