"","code","name","c_name"
"2",39,"中集集团","机械设备"
"3",157,"中联重科","机械设备"
"4",410,"沈阳机床","机械设备"
"5",425,"徐工机械","机械设备"
"7",528,"柳 工","机械设备"
"8",530,"大冷股份","机械设备"
"10",570,"苏常柴Ａ","机械设备"
"11",595,"*ST宝实","机械设备"
"13",617,"中油资本","机械设备"
"15",676,"智度股份","机械设备"
"16",680,"山推股份","机械设备"
"17",777,"中核科技","机械设备"
"18",811,"烟台冰轮","机械设备"
"19",816,"智慧农业","机械设备"
"20",821,"京山轻机","机械设备"
"21",837,"秦川机床","机械设备"
"22",852,"石化机械","机械设备"
"23",856,"冀东装备","机械设备"
"24",880,"潍柴重机","机械设备"
"25",890,"法 尔 胜","机械设备"
"26",901,"航天科技","机械设备"
"29",923,"河北宣工","机械设备"
"32",2009,"天奇股份","机械设备"
"33",2021,"中捷资源","机械设备"
"34",2026,"山东威达","机械设备"
"35",2031,"巨轮智能","机械设备"
"36",2046,"轴研科技","机械设备"
"37",2073,"软控股份","机械设备"
"38",2097,"山河智能","机械设备"
"39",2111,"威海广泰","机械设备"
"40",2122,"天马股份","机械设备"
"42",2132,"恒星科技","机械设备"
"43",2147,"新光圆成","机械设备"
"44",2150,"通润装备","机械设备"
"45",2158,"汉钟精机","机械设备"
"46",2164,"宁波东力","机械设备"
"49",2204,"大连重工","机械设备"
"50",2209,"达 意 隆","机械设备"
"51",2248,"*ST东数","机械设备"
"52",2270,"华明装备","机械设备"
"53",2272,"川润股份","机械设备"
"54",2278,"神开股份","机械设备"
"55",2282,"博深工具","机械设备"
"56",2337,"赛象科技","机械设备"
"57",2338,"奥普光电","机械设备"
"58",2342,"巨力索具","机械设备"
"59",2347,"泰尔股份","机械设备"
"61",2353,"杰瑞股份","机械设备"
"63",2367,"康力电梯","机械设备"
"64",2423,"中原特钢","机械设备"
"65",2426,"胜利精密","机械设备"
"66",2430,"杭氧股份","机械设备"
"67",2435,"长江润发","机械设备"
"68",2438,"江苏神通","机械设备"
"69",2444,"巨星科技","机械设备"
"71",2459,"天业通联","机械设备"
"72",2480,"新筑股份","机械设备"
"73",2483,"润邦股份","机械设备"
"74",2487,"大金重工","机械设备"
"75",2490,"*ST墨龙","机械设备"
"77",2509,"天广中茂","机械设备"
"78",2510,"天汽模","机械设备"
"79",2514,"宝馨科技","机械设备"
"80",2520,"日发精机","机械设备"
"81",2523,"天桥起重","机械设备"
"82",2526,"山东矿机","机械设备"
"83",2529,"海源机械","机械设备"
"84",2530,"丰东股份","机械设备"
"85",2532,"新界泵业","机械设备"
"86",2535,"林州重机","机械设备"
"87",2537,"海立美达","机械设备"
"88",2552,"宝鼎科技","机械设备"
"89",2559,"亚威股份","机械设备"
"90",2564,"天沃科技","机械设备"
"91",2595,"豪迈科技","机械设备"
"92",2598,"山东章鼓","机械设备"
"93",2611,"东方精工","机械设备"
"94",2613,"北玻股份","机械设备"
"95",2621,"三垒股份","机械设备"
"96",2633,"申科股份","机械设备"
"97",2639,"雪人股份","机械设备"
"98",2645,"华宏科技","机械设备"
"99",2647,"民盛金科","机械设备"
"100",2651,"利君股份","机械设备"
"101",2658,"雪迪龙","机械设备"
"102",2667,"鞍重股份","机械设备"
"104",2685,"华东重机","机械设备"
"105",2686,"亿利达","机械设备"
"106",2689,"远大智能","机械设备"
"107",2690,"美亚光电","机械设备"
"108",2691,"冀凯股份","机械设备"
"109",2698,"博实股份","机械设备"
"110",2722,"金轮股份","机械设备"
"111",2730,"电光科技","机械设备"
"112",2747,"埃斯顿","机械设备"
"113",2757,"南兴装备","机械设备"
"114",2760,"凤形股份","机械设备"
"115",2774,"快意电梯","机械设备"
"116",2779,"中坚科技","机械设备"
"117",2786,"银宝山新","机械设备"
"118",2793,"东音股份","机械设备"
"119",2796,"世嘉科技","机械设备"
"120",2816,"和科达","机械设备"
"121",2819,"东方中科","机械设备"
"122",2833,"弘亚数控","机械设备"
"123",2837,"英维克","机械设备"
"124",2843,"泰嘉股份","机械设备"
"125",2849,"威星智能","机械设备"
"126",2857,"三晖电气","机械设备"
"127",300004,"南风股份","机械设备"
"128",300007,"汉威电子","机械设备"
"130",300024,"机器人","机械设备"
"131",300034,"钢研高纳","机械设备"
"132",300035,"中科电气","机械设备"
"133",300064,"豫金刚石","机械设备"
"134",300066,"三川智慧","机械设备"
"135",300080,"易成新能","机械设备"
"137",300091,"金通灵","机械设备"
"138",300092,"科新机电","机械设备"
"139",300095,"华伍股份","机械设备"
"140",300097,"智云股份","机械设备"
"141",300099,"精准信息","机械设备"
"142",300103,"达刚路机","机械设备"
"143",300112,"万讯自控","机械设备"
"144",300114,"中航电测","机械设备"
"146",300126,"锐奇股份","机械设备"
"149",300145,"中金环境","机械设备"
"150",300151,"昌红科技","机械设备"
"151",300154,"瑞凌股份","机械设备"
"152",300159,"新研股份","机械设备"
"153",300161,"华中数控","机械设备"
"154",300165,"天瑞仪器","机械设备"
"155",300173,"智慧松德","机械设备"
"156",300179,"四方达","机械设备"
"157",300185,"通裕重工","机械设备"
"158",300193,"佳士科技","机械设备"
"159",300195,"长荣股份","机械设备"
"160",300201,"海伦哲","机械设备"
"162",300210,"森远股份","机械设备"
"163",300228,"富瑞特装","机械设备"
"164",300257,"开山股份","机械设备"
"165",300259,"新天科技","机械设备"
"166",300260,"新莱应材","机械设备"
"167",300263,"隆华节能","机械设备"
"169",300275,"梅安森","机械设备"
"170",300276,"三丰智能","机械设备"
"171",300278,"华昌达","机械设备"
"172",300280,"南通锻压","机械设备"
"173",300281,"金明精机","机械设备"
