"","code","name","c_name"
"1",17,"深中华A","汽车"
"2",25,"特 力Ａ","汽车"
"4",338,"潍柴动力","汽车"
"5",550,"江铃汽车","汽车"
"6",559,"万向钱潮","汽车"
"7",572,"海马汽车","汽车"
"8",581,"威孚高科","汽车"
"10",625,"长安汽车","汽车"
"11",678,"襄阳轴承","汽车"
"12",700,"模塑科技","汽车"
"15",757,"浩物股份","汽车"
"17",800,"一汽轿车","汽车"
"18",868,"安凯客车","汽车"
"19",887,"中鼎股份","汽车"
"20",903,"云内动力","汽车"
"21",913,"*ST钱江","汽车"
"22",927,"一汽夏利","汽车"
"23",951,"中国重汽","汽车"
"24",957,"中通客车","汽车"
"25",980,"金马股份","汽车"
"27",1696,"宗申动力","汽车"
"28",2048,"宁波华翔","汽车"
"29",2085,"万丰奥威","汽车"
"30",2101,"广东鸿图","汽车"
"31",2105,"信隆健康","汽车"
"32",2126,"银轮股份","汽车"
"34",2213,"特 尔 佳","汽车"
"36",2265,"西仪股份","汽车"
"37",2283,"天润曲轴","汽车"
"38",2284,"亚太股份","汽车"
"39",2328,"新朋股份","汽车"
"40",2355,"兴民智通","汽车"
"41",2363,"隆基机械","汽车"
"42",2406,"远东传动","汽车"
"43",2434,"万里扬","汽车"
"44",2448,"中原内配","汽车"
"45",2454,"松芝股份","汽车"
"46",2472,"双环传动","汽车"
"47",2488,"金固股份","汽车"
"48",2536,"西泵股份","汽车"
"49",2553,"南方轴承","汽车"
"51",2590,"万安科技","汽车"
"52",2592,"八菱科技","汽车"
"53",2593,"日上集团","汽车"
"54",2594,"比亚迪","汽车"
"55",2602,"世纪华通","汽车"
"56",2607,"亚夏汽车","汽车"
"57",2625,"龙生股份","汽车"
"58",2662,"京威股份","汽车"
"61",2684,"猛狮科技","汽车"
"62",2703,"浙江世宝","汽车"
"63",2708,"光洋股份","汽车"
"64",2715,"登云股份","汽车"
"65",2725,"跃岭股份","汽车"
"66",2765,"蓝黛传动","汽车"
"67",2863,"今飞凯达","汽车"
"68",300100,"双林股份","汽车"
"69",300176,"鸿特精密","汽车"
"70",300237,"美晨科技","汽车"
"71",300258,"精锻科技","汽车"
"72",300304,"云意电气","汽车"
"73",300375,"鹏翎股份","汽车"
"74",300432,"富临精工","汽车"
"75",300473,"德尔股份","汽车"
"76",300507,"苏奥传感","汽车"
"77",300580,"贝斯特","汽车"
"78",300585,"奥联电子","汽车"
"79",300611,"美力科技","汽车"
"80",600006,"东风汽车","汽车"
"81",600066,"宇通客车","汽车"
"82",600081,"东风科技","汽车"
"84",600099,"林海股份","汽车"
"85",600104,"上汽集团","汽车"
"86",600148,"长春一东","汽车"
"87",600166,"福田汽车","汽车"
"88",600178,"东安动力","汽车"
"89",600213,"亚星客车","汽车"
"91",600303,"曙光股份","汽车"
"92",600335,"国机汽车","汽车"
"93",600418,"江淮汽车","汽车"
"94",600480,"凌云股份","汽车"
"95",600482,"中国动力","汽车"
"96",600523,"贵航股份","汽车"
"97",600609,"金杯汽车","汽车"
"98",600653,"申华控股","汽车"
"100",600660,"福耀玻璃","汽车"
"103",600686,"金龙汽车","汽车"
"104",600698,"湖南天雁","汽车"
"108",600742,"一汽富维","汽车"
"110",600877,"中国嘉陵","汽车"
"111",601127,"小康股份","汽车"
"112",601238,"广汽集团","汽车"
"113",601258,"庞大集团","汽车"
"114",601311,"骆驼股份","汽车"
"115",601633,"长城汽车","汽车"
"116",601689,"拓普集团","汽车"
"117",601777,"力帆股份","汽车"
"118",601799,"星宇股份","汽车"
"119",601965,"中国汽研","汽车"
"120",603006,"联明股份","汽车"
"121",603009,"北特科技","汽车"
"122",603023,"威帝股份","汽车"
"123",603035,"常熟汽饰","汽车"
"124",603037,"凯众股份","汽车"
"125",603040,"新坐标","汽车"
"126",603085,"天成自控","汽车"
"127",603089,"正裕工业","汽车"
"128",603158,"腾龙股份","汽车"
"129",603166,"福达股份","汽车"
"130",603178,"圣龙股份","汽车"
"131",603179,"新泉股份","汽车"
"132",603239,"浙江仙通","汽车"
"133",603306,"华懋科技","汽车"
"134",603319,"湘油泵","汽车"
"135",603358,"华达科技","汽车"
"136",603377,"东方时尚","汽车"
"137",603528,"多伦科技","汽车"
"138",603586,"金麒麟","汽车"
"139",603701,"德宏股份","汽车"
"140",603766,"隆鑫通用","汽车"
"141",603768,"常青股份","汽车"
"142",603788,"宁波高发","汽车"
"143",603997,"继峰股份","汽车"
