"","code","name","c_name"
"1",20,"深华发Ａ","电子"
"4",50,"深天马Ａ","电子"
"9",413,"东旭光电","电子"
"10",532,"华金资本","电子"
"11",536,"华映科技","电子"
"12",541,"佛山照明","电子"
"14",636,"风华高科","电子"
"19",725,"京东方Ａ","电子"
"20",727,"华东科技","电子"
"21",733,"振华科技","电子"
"23",823,"超声电子","电子"
"26",988,"华工科技","电子"
"28",2008,"大族激光","电子"
"29",2025,"航天电器","电子"
"31",2045,"国光电器","电子"
"32",2049,"紫光国芯","电子"
"33",2055,"得润电子","电子"
"35",2076,"雪 莱 特","电子"
"36",2079,"苏州固锝","电子"
"37",2106,"莱宝高科","电子"
"38",2119,"康强电子","电子"
"39",2129,"中环股份","电子"
"40",2134,"天津普林","电子"
"41",2137,"麦达数字","电子"
"42",2138,"顺络电子","电子"
"44",2141,"贤丰控股","电子"
"45",2156,"通富微电","电子"
"46",2161,"远 望 谷","电子"
"47",2179,"中航光电","电子"
"49",2185,"华天科技","电子"
"50",2188,"巴士在线","电子"
"51",2189,"利达光电","电子"
"52",2199,"东晶电子","电子"
"53",2214,"大立科技","电子"
"55",2222,"福晶科技","电子"
"56",2241,"歌尔股份","电子"
"57",2273,"水晶光电","电子"
"58",2288,"超华科技","电子"
"59",2289,"*ST宇顺","电子"
"62",2351,"漫步者","电子"
"63",2369,"卓翼科技","电子"
"64",2371,"北方华创","电子"
"65",2384,"东山精密","电子"
"66",2388,"新亚制程","电子"
"67",2389,"南洋科技","电子"
"68",2402,"和而泰","电子"
"69",2414,"高德红外","电子"
"70",2436,"兴森科技","电子"
"71",2449,"国星光电","电子"
"72",2456,"欧菲光","电子"
"73",2463,"沪电股份","电子"
"74",2475,"立讯精密","电子"
"75",2484,"江海股份","电子"
"79",2547,"春兴精工","电子"
"80",2579,"中京电子","电子"
"81",2587,"奥拓电子","电子"
"82",2618,"丹邦科技","电子"
"83",2635,"安洁科技","电子"
"84",2636,"金安国纪","电子"
"85",2638,"勤上股份","电子"
"86",2654,"万润科技","电子"
"87",2655,"共达电声","电子"
"88",2660,"茂硕电源","电子"
"89",2724,"海洋王","电子"
"90",2729,"好利来","电子"
"91",2745,"木林森","电子"
"92",2782,"可立克","电子"
"93",2808,"苏州恒久","电子"
"94",2815,"崇达技术","电子"
"95",2841,"视源股份","电子"
"96",2845,"同兴达","电子"
"97",2850,"科达利","电子"
"98",2855,"捷荣技术","电子"
"99",2859,"洁美科技","电子"
"100",2861,"瀛通通讯","电子"
"101",300014,"亿纬锂能","电子"
"103",300046,"台基股份","电子"
"104",300053,"欧比特","电子"
"105",300076,"GQY视讯","电子"
"106",300077,"国民技术","电子"
"107",300078,"思创医惠","电子"
"108",300083,"劲胜精密","电子"
"109",300088,"长信科技","电子"
"110",300102,"乾照光电","电子"
"112",300115,"长盈精密","电子"
"113",300128,"锦富技术","电子"
"114",300131,"英唐智控","电子"
"116",300139,"晓程科技","电子"
