"","code","name","c_name"
"1",400,"许继电气","电气设备"
"2",585,"东北电气","电气设备"
"4",682,"东方电子","电气设备"
"7",922,"*ST佳电","电气设备"
"8",967,"盈峰环境","电气设备"
"10",2028,"思源电气","电气设备"
"11",2058,"威 尔 泰","电气设备"
"12",2074,"国轩高科","电气设备"
"13",2090,"金智科技","电气设备"
"14",2112,"三变科技","电气设备"
"15",2121,"科陆电子","电气设备"
"16",2123,"梦网荣信","电气设备"
"17",2168,"深圳惠程","电气设备"
"18",2169,"智光电气","电气设备"
"19",2176,"江特电机","电气设备"
"21",2184,"海得控制","电气设备"
"22",2196,"方正电机","电气设备"
"23",2202,"金风科技","电气设备"
"24",2212,"南洋股份","电气设备"
"25",2218,"拓日新能","电气设备"
"26",2227,"奥 特 迅","电气设备"
"27",2249,"大洋电机","电气设备"
"28",2255,"海陆重工","电气设备"
"29",2266,"浙富控股","电气设备"
"30",2276,"万马股份","电气设备"
"31",2298,"中电鑫龙","电气设备"
"32",2300,"太阳电缆","电气设备"
"33",2309,"中利集团","电气设备"
"34",2322,"理工环科","电气设备"
"36",2334,"英威腾","电气设备"
"37",2335,"科华恒盛","电气设备"
"38",2339,"积成电子","电气设备"
"39",2350,"北京科锐","电气设备"
"40",2356,"赫美集团","电气设备"
"41",2358,"森源电气","电气设备"
"42",2359,"齐星铁塔","电气设备"
"43",2364,"中恒电气","电气设备"
"44",2441,"众业达","电气设备"
"45",2451,"摩恩电气","电气设备"
"46",2452,"长高集团","电气设备"
"47",2471,"中超控股","电气设备"
"48",2498,"汉缆股份","电气设备"
"50",2518,"科士达","电气设备"
"51",2527,"新时达","电气设备"
"52",2531,"天顺风能","电气设备"
"53",2533,"金杯电工","电气设备"
"54",2534,"杭锅股份","电气设备"
"56",2546,"新联电子","电气设备"
"57",2560,"通达股份","电气设备"
"58",2576,"通达动力","电气设备"
"59",2580,"圣阳股份","电气设备"
"60",2606,"大连电瓷","电气设备"
"61",2610,"爱康科技","电气设备"
"62",2617,"露笑科技","电气设备"
"63",2622,"融钰集团","电气设备"
"64",2630,"华西能源","电气设备"
"66",2665,"首航节能","电气设备"
"67",2692,"睿康股份","电气设备"
"68",2706,"良信电器","电气设备"
"69",2733,"雄韬股份","电气设备"
"70",2767,"先锋电子","电气设备"
"71",2801,"微光股份","电气设备"
"72",2823,"凯中精密","电气设备"
"73",2851,"麦格米特","电气设备"
"74",300001,"特锐德","电气设备"
"75",300011,"鼎汉技术","电气设备"
"76",300018,"中元股份","电气设备"
"77",300029,"天龙光电","电气设备"
"79",300040,"九洲电气","电气设备"
"80",300048,"合康新能","电气设备"
"81",300062,"中能电气","电气设备"
"82",300068,"南都电源","电气设备"
"83",300069,"金利华电","电气设备"
"84",300105,"龙源技术","电气设备"
"86",300118,"东方日升","电气设备"
"87",300120,"经纬电材","电气设备"
"88",300124,"汇川技术","电气设备"
"89",300129,"泰胜风能","电气设备"
"91",300141,"和顺电气","电气设备"
"93",300153,"科泰电源","电气设备"
"94",300208,"恒顺众N","电气设备"
"95",300215,"电科院","电气设备"
"96",300222,"科大智能","电气设备"
"98",300265,"通光线缆","电气设备"
"99",300274,"阳光电源","电气设备"
"100",300283,"温州宏丰","电气设备"
"101",300286,"安科瑞","电气设备"
"102",300308,"中际装备","电气设备"
"103",300316,"晶盛机电","电气设备"
"104",300341,"麦迪电气","电气设备"
"105",300356,"光一科技","电气设备"
"106",300360,"炬华科技","电气设备"
"109",300372,"欣泰电气","电气设备"
"110",300376,"易事特","电气设备"
"111",300393,"中来股份","电气设备"
"112",300407,"凯发电气","电气设备"
"113",300414,"中光防雷","电气设备"
"114",300423,"鲁亿通","电气设备"
"115",300427,"红相电力","电气设备"
"116",300444,"双杰电气","电气设备"
"117",300447,"全信股份","电气设备"
"118",300466,"赛摩电气","电气设备"
"119",300477,"合纵科技","电气设备"
"120",300484,"蓝海华腾","电气设备"
"121",300490,"华自科技","电气设备"
