"","code","name","c_name"
"3",158,"常山股份","纺织服装"
"9",726,"鲁 泰Ａ","纺织服装"
"10",779,"三毛派神","纺织服装"
"13",850,"华茂股份","纺织服装"
"15",955,"欣龙控股","纺织服装"
"17",982,"中银绒业","纺织服装"
"18",2003,"伟星股份","纺织服装"
"19",2029,"七 匹 狼","纺织服装"
"20",2034,"美 欣 达","纺织服装"
"22",2042,"华孚色纺","纺织服装"
"24",2070,"众和股份","纺织服装"
"25",2072,"凯瑞德","纺织服装"
"26",2083,"孚日股份","纺织服装"
"27",2087,"新野纺织","纺织服装"
"28",2098,"浔兴股份","纺织服装"
"30",2144,"宏达高科","纺织服装"
"31",2154,"报 喜 鸟","纺织服装"
"32",2193,"山东如意","纺织服装"
"34",2269,"美邦服饰","纺织服装"
"35",2291,"星期六","纺织服装"
"36",2293,"罗莱生活","纺织服装"
"37",2327,"富安娜","纺织服装"
"38",2394,"联发股份","纺织服装"
"39",2397,"梦洁股份","纺织服装"
"40",2404,"嘉欣丝绸","纺织服装"
"41",2425,"凯撒文化","纺织服装"
"42",2485,"希努尔","纺织服装"
"43",2486,"嘉麟杰","纺织服装"
"44",2494,"华斯股份","纺织服装"
"45",2503,"搜于特","纺织服装"
"46",2516,"旷达科技","纺织服装"
"48",2563,"森马服饰","纺织服装"
"49",2569,"步森股份","纺织服装"
"50",2612,"朗姿股份","纺织服装"
"51",2634,"棒杰股份","纺织服装"
"53",2656,"摩登大道","纺织服装"
"54",2674,"兴业科技","纺织服装"
"55",2687,"乔治白","纺织服装"
"56",2699,"美盛文化","纺织服装"
"57",2761,"多喜爱","纺织服装"
"58",2762,"金发拉比","纺织服装"
"59",2763,"汇洁股份","纺织服装"
"60",2776,"柏堡龙","纺织服装"
"61",2780,"三夫户外","纺织服装"
"62",2832,"比音勒芬","纺织服装"
"63",300005,"探路者","纺织服装"
"64",300526,"中潜股份","纺织服装"
"65",300577,"开润股份","纺织服装"
"66",300591,"万里马","纺织服装"
"67",600070,"浙江富润","纺织服装"
"68",600107,"美尔雅","纺织服装"
"69",600137,"浪莎股份","纺织服装"
"70",600152,"维科精华","纺织服装"
"71",600156,"华升股份","纺织服装"
"72",600177,"雅戈尔","纺织服装"
"73",600220,"江苏阳光","纺织服装"
"74",600232,"金鹰股份","纺织服装"
"79",600370,"三房巷","纺织服装"
"80",600398,"海澜之家","纺织服装"
"81",600400,"红豆股份","纺织服装"
"82",600448,"华纺股份","纺织服装"
"84",600493,"凤竹纺织","纺织服装"
"85",600510,"黑牡丹","纺织服装"
"86",600626,"申达股份","纺织服装"
"87",600630,"龙头股份","纺织服装"
"88",600689,"上海三毛","纺织服装"
"94",600987,"航民股份","纺织服装"
"95",601339,"百隆东方","纺织服装"
"96",601566,"九牧王","纺织服装"
"97",601599,"鹿港文化","纺织服装"
"98",601718,"际华集团","纺织服装"
"99",603001,"奥康国际","纺织服装"
"100",603116,"红蜻蜓","纺织服装"
"101",603238,"诺邦股份","纺织服装"
"102",603518,"维格娜丝","纺织服装"
"103",603555,"贵人鸟","纺织服装"
"104",603558,"健盛集团","纺织服装"
"105",603608,"天创时尚","纺织服装"
"106",603665,"康隆达","纺织服装"
"107",603808,"歌力思","纺织服装"
"108",603839,"安正时尚","纺织服装"
"109",603877,"太平鸟","纺织服装"
"110",603889,"新澳股份","纺织服装"
"111",603908,"牧高笛","纺织服装"
"112",603958,"哈森股份","纺织服装"
