"","code","name","c_name"
"1",21,"深科技","计算机"
"2",66,"中国长城","计算机"
"4",748,"长城信息","计算机"
"5",938,"紫光股份","计算机"
"6",948,"南天信息","计算机"
"7",977,"浪潮信息","计算机"
"8",997,"新 大 陆","计算机"
"10",2063,"远光软件","计算机"
"11",2065,"东华软件","计算机"
"12",2152,"广电运通","计算机"
"13",2153,"石基信息","计算机"
"14",2177,"御银股份","计算机"
"15",2195,"二三四五","计算机"
"16",2197,"证通电子","计算机"
"17",2230,"科大讯飞","计算机"
"18",2232,"启明信息","计算机"
"19",2236,"大华股份","计算机"
"20",2253,"川大智胜","计算机"
"21",2268,"卫 士 通","计算机"
"22",2279,"久其软件","计算机"
"23",2280,"联络互动","计算机"
"24",2296,"辉煌科技","计算机"
"26",2312,"三泰控股","计算机"
"27",2331,"皖通科技","计算机"
"28",2362,"汉王科技","计算机"
"29",2368,"太极股份","计算机"
"30",2373,"千方科技","计算机"
"31",2376,"新北洋","计算机"
"32",2380,"科远股份","计算机"
"33",2383,"合众思壮","计算机"
"34",2401,"中海科技","计算机"
"35",2405,"四维图新","计算机"
"36",2410,"广联达","计算机"
"37",2415,"海康威视","计算机"
"38",2421,"达实智能","计算机"
"39",2439,"启明星辰","计算机"
"40",2474,"榕基软件","计算机"
"42",2528,"英飞拓","计算机"
"43",2577,"雷柏科技","计算机"
"44",2609,"捷顺科技","计算机"
"45",2642,"荣之联","计算机"
"46",2649,"博彦科技","计算机"
"47",2657,"中科金财","计算机"
"48",2766,"索菱股份","计算机"
"49",2771,"真视通","计算机"
"50",2777,"久远银海","计算机"
"51",2835,"同为股份","计算机"
"52",300002,"神州泰岳","计算机"
"53",300010,"立思辰","计算机"
"54",300020,"银江股份","计算机"
"55",300033,"同花顺","计算机"
"56",300036,"超图软件","计算机"
"57",300042,"朗科科技","计算机"
"58",300044,"赛为智能","计算机"
"59",300045,"华力创通","计算机"
"60",300047,"天源迪科","计算机"
"61",300051,"三五互联","计算机"
"62",300065,"海兰信","计算机"
"63",300074,"华平股份","计算机"
"64",300075,"数字政通","计算机"
"65",300079,"数码视讯","计算机"
"66",300085,"银之杰","计算机"
"67",300096,"易联众","计算机"
"68",300130,"新国都","计算机"
"69",300150,"世纪瑞尔","计算机"
"70",300155,"安居宝","计算机"
"71",300166,"东方国信","计算机"
"72",300167,"迪威视讯","计算机"
"73",300168,"万达信息","计算机"
"74",300170,"汉得信息","计算机"
"75",300177,"中海达","计算机"
"76",300182,"捷成股份","计算机"
"77",300188,"美亚柏科","计算机"
"78",300202,"聚龙股份","计算机"
"79",300209,"天泽信息","计算机"
"80",300212,"易华录","计算机"
"81",300229,"拓尔思","计算机"
"82",300231,"银信科技","计算机"
"83",300235,"方直科技","计算机"
"84",300245,"天玑科技","计算机"
"85",300248,"新开普","计算机"
"86",300253,"卫宁健康","计算机"
"87",300264,"佳创视讯","计算机"
"88",300270,"中威电子","计算机"
"89",300271,"华宇软件","计算机"
"90",300277,"海联讯","计算机"
"91",300287,"飞利信","计算机"
"92",300290,"荣科科技","计算机"
