"","code","name","c_name"
"1",26,"飞亚达Ａ","轻工制造"
"3",488,"晨鸣纸业","轻工制造"
"6",587,"金洲慈航","轻工制造"
"8",659,"珠海中富","轻工制造"
"10",812,"陕西金叶","轻工制造"
"11",815,"美利云","轻工制造"
"12",820,"神雾节能","轻工制造"
"14",910,"大亚圣象","轻工制造"
"15",2012,"凯恩股份","轻工制造"
"16",2014,"永新股份","轻工制造"
"18",2067,"景兴纸业","轻工制造"
"20",2078,"太阳纸业","轻工制造"
"21",2084,"海鸥卫浴","轻工制造"
"22",2094,"青岛金王","轻工制造"
"24",2103,"广博股份","轻工制造"
"25",2117,"东港股份","轻工制造"
"28",2191,"劲嘉股份","轻工制造"
"29",2228,"合兴包装","轻工制造"
"30",2229,"鸿博股份","轻工制造"
"31",2235,"安妮股份","轻工制造"
"32",2240,"威华股份","轻工制造"
"34",2247,"帝龙文化","轻工制造"
"35",2259,"升达林业","轻工制造"
"38",2301,"齐心集团","轻工制造"
"39",2303,"美盈森","轻工制造"
"40",2345,"潮宏基","轻工制造"
"41",2348,"高乐股份","轻工制造"
"43",2374,"丽鹏股份","轻工制造"
"44",2489,"浙江永强","轻工制造"
"46",2511,"中顺洁柔","轻工制造"
"47",2521,"齐峰新材","轻工制造"
"48",2522,"浙江众成","轻工制造"
"49",2565,"顺灏股份","轻工制造"
"50",2571,"*ST德力","轻工制造"
"51",2572,"索菲亚","轻工制造"
"52",2574,"明牌珠宝","轻工制造"
"53",2575,"群兴玩具","轻工制造"
"54",2585,"双星新材","轻工制造"
"55",2599,"盛通股份","轻工制造"
"56",2605,"姚记扑克","轻工制造"
"57",2615,"哈尔斯","轻工制造"
"58",2631,"德尔未来","轻工制造"
"59",2678,"珠江钢琴","轻工制造"
"60",2701,"奥瑞金","轻工制造"
"61",2721,"金一文化","轻工制造"
"62",2731,"萃华珠宝","轻工制造"
"63",2735,"王子新材","轻工制造"
"64",2740,"爱迪尔","轻工制造"
"65",2751,"易尚展示","轻工制造"
"66",2752,"N兴股份","轻工制造"
"67",2787,"华源控股","轻工制造"
"68",2790,"瑞尔特","轻工制造"
"69",2798,"帝王洁具","轻工制造"
"70",2799,"环球印务","轻工制造"
"71",2803,"吉宏股份","轻工制造"
"72",2812,"创新股份","轻工制造"
"73",2825,"纳尔股份","轻工制造"
"74",2831,"裕同科技","轻工制造"
"75",2836,"新宏泽","轻工制造"
"76",2846,"英联股份","轻工制造"
"77",2853,"皮阿诺","轻工制造"
"78",2862,"实丰文化","轻工制造"
"80",300057,"万顺股份","轻工制造"
"81",300061,"康耐特","轻工制造"
"82",300089,"文化长城","轻工制造"
"83",300329,"海伦钢琴","轻工制造"
"84",300501,"海顺新材","轻工制造"
"85",300616,"尚品宅配","轻工制造"
"86",300640,"德艺文创","轻工制造"
"87",600069,"银鸽投资","轻工制造"
"89",600086,"东方金钰","轻工制造"
"90",600103,"青山纸业","轻工制造"
"91",600135,"乐凯胶片","轻工制造"
"94",600210,"紫江企业","轻工制造"
"95",600235,"民丰特纸","轻工制造"
"96",600308,"华泰股份","轻工制造"
"97",600337,"美克家居","轻工制造"
"98",600356,"恒丰纸业","轻工制造"
"101",600433,"冠豪高新","轻工制造"
"102",600439,"瑞贝卡","轻工制造"
"104",600567,"山鹰纸业","轻工制造"
"105",600599,"熊猫金控","轻工制造"
"106",600612,"老凤祥","轻工制造"
"108",600793,"宜宾纸业","轻工制造"
"109",600836,"界龙实业","轻工制造"
"110",600963,"岳阳林纸","轻工制造"
"111",600966,"博汇纸业","轻工制造"
"112",600978,"宜华生活","轻工制造"
"113",601515,"东风股份","轻工制造"
"114",601968,"宝钢包装","轻工制造"
"115",601996,"丰林集团","轻工制造"
"116",603008,"喜临门","轻工制造"
"117",603021,"山东华鹏","轻工制造"
"118",603022,"新通联","轻工制造"
"119",603058,"永吉股份","轻工制造"
"120",603165,"荣晟环保","轻工制造"
"121",603208,"江山欧派","轻工制造"
"122",603268,"松发股份","轻工制造"
"123",603313,"梦百合","轻工制造"
"124",603385,"惠达卫浴","轻工制造"
"125",603389,"亚振家居","轻工制造"
"126",603398,"邦宝益智","轻工制造"
"127",603429,"集友股份","轻工制造"
"128",603600,"永艺股份","轻工制造"
"129",603816,"顾家家居","轻工制造"
"130",603818,"曲美家居","轻工制造"
"131",603833,"欧派家居","轻工制造"
"132",603838,"四通股份","轻工制造"
"133",603898,"好莱客","轻工制造"
"134",603899,"XD晨光文","轻工制造"
