"","code","name","c_name"
"1",32,"深桑达Ａ","通信"
"4",63,"中兴通讯","通信"
"9",586,"汇源通信","通信"
"12",851,"高鸿股份","通信"
"15",2017,"东信和平","通信"
"16",2089,"新 海 宜","通信"
"17",2093,"国脉科技","通信"
"18",2104,"恒宝股份","通信"
"19",2115,"三维通信","通信"
"20",2194,"武汉凡谷","通信"
"21",2231,"奥维通信","通信"
"22",2281,"光迅科技","通信"
"23",2313,"日海通讯","通信"
"24",2316,"键桥通讯","通信"
"25",2396,"星网锐捷","通信"
"26",2417,"三元达","通信"
"27",2446,"盛路通信","通信"
"28",2465,"海格通信","通信"
"29",2467,"二六三","通信"
"30",2491,"通鼎互联","通信"
"31",2544,"杰赛科技","通信"
"32",2583,"海能达","通信"
"33",2792,"通宇通讯","通信"
"34",2813,"路畅科技","通信"
"35",300017,"网宿科技","通信"
"36",300025,"华星创业","通信"
"37",300028,"金亚科技","通信"
"38",300038,"梅泰诺","通信"
"39",300050,"世纪鼎利","通信"
"40",300081,"恒信移动","通信"
"41",300098,"高新兴","通信"
"42",300134,"大富科技","通信"
"44",300205,"天喻信息","通信"
"45",300211,"亿通科技","通信"
"46",300213,"佳讯飞鸿","通信"
"47",300250,"初灵信息","通信"
"48",300252,"金信诺","通信"
"49",300292,"吴通控股","通信"
"50",300299,"富春股份","通信"
"51",300310,"宜通世纪","通信"
"52",300312,"邦讯技术","通信"
"54",300353,"东土科技","通信"
"55",300467,"迅游科技","通信"
"56",300531,"优博讯","通信"
"57",300548,"博创科技","通信"
"58",300555,"路通视信","通信"
"59",300560,"中富通","通信"
"60",300563,"神宇股份","通信"
"61",300565,"科信技术","通信"
"62",300570,"太辰光","通信"
"63",300571,"平治信息","通信"
"64",300578,"会畅通讯","通信"
"65",300590,"移为通信","通信"
"66",300597,"吉大通信","通信"
"67",300603,"立昂技术","通信"
"68",300615,"欣天科技","通信"
"69",300620,"光库科技","通信"
"70",300628,"亿联网络","通信"
"71",300638,"广和通","通信"
"72",600050,"中国联通","通信"
"74",600105,"永鼎股份","通信"
"75",600130,"波导股份","通信"
"76",600198,"大唐电信","通信"
"77",600289,"亿阳信通","通信"
"78",600345,"长江通信","通信"
"79",600355,"精伦电子","通信"
"81",600485,"信威集团","通信"
"82",600487,"亨通光电","通信"
"83",600498,"烽火通信","通信"
"84",600522,"中天科技","通信"
"85",600775,"南京熊猫","通信"
"86",600776,"东方通信","通信"
"87",603118,"共进股份","通信"
"88",603322,"超讯通信","通信"
"89",603421,"鼎信通讯","通信"
"90",603559,"中通国脉","通信"
"91",603703,"盛洋科技","通信"
"92",603881,"数据港","通信"
