"","code","name","c_name"
"4",552,"靖远煤电","采掘"
"5",571,"新大洲Ａ","采掘"
"7",655,"金岭矿业","采掘"
"9",723,"美锦能源","采掘"
"10",762,"西藏矿业","采掘"
"11",780,"*ST平能","采掘"
"14",937,"冀中能源","采掘"
"15",968,"*ST煤气","采掘"
"16",983,"西山煤电","采掘"
"17",2128,"露天煤业","采掘"
"18",2207,"准油股份","采掘"
"19",2554,"惠博普","采掘"
"20",2629,"仁智股份","采掘"
"21",2738,"中矿资源","采掘"
"22",2828,"贝肯能源","采掘"
"24",300157,"恒泰艾普","采掘"
"25",300164,"通源石油","采掘"
"26",300191,"潜能恒信","采掘"
"28",600121,"*ST郑煤","采掘"
"29",600123,"兰花科创","采掘"
"32",600179,"安通控股","采掘"
"33",600188,"兖州煤业","采掘"
"36",600348,"阳泉煤业","采掘"
"39",600395,"盘江股份","采掘"
"40",600397,"安源煤业","采掘"
"41",600403,"*ST大有","采掘"
"42",600408,"安泰集团","采掘"
"43",600508,"上海能源","采掘"
"45",600546,"山煤国际","采掘"
"46",600583,"海油工程","采掘"
"50",600740,"山西焦化","采掘"
"56",600971,"恒源煤电","采掘"
"57",600997,"开滦股份","采掘"
"58",601001,"大同煤业","采掘"
"59",601011,"宝泰隆","采掘"
"60",601015,"陕西黑猫","采掘"
"61",601088,"中国神华","采掘"
"62",601101,"昊华能源","采掘"
"63",601225,"陕西煤业","采掘"
"64",601666,"平煤股份","采掘"
"65",601699,"潞安环能","采掘"
"66",601808,"中海油服","采掘"
"67",601857,"中国石油","采掘"
"68",601898,"中煤能源","采掘"
"69",601918,"新集能源","采掘"
"70",601969,"海南矿业","采掘"
"71",603727,"博迈科","采掘"
"72",603979,"金诚信","采掘"
