"","code","name","c_name"
"2",708,"大冶特钢","钢铁"
"3",709,"河钢股份","钢铁"
"4",717,"韶钢松山","钢铁"
"5",761,"本钢板材","钢铁"
"6",778,"新兴铸管","钢铁"
"7",825,"太钢不锈","钢铁"
"8",898,"鞍钢股份","钢铁"
"10",932,"华菱钢铁","钢铁"
"11",959,"首钢股份","钢铁"
"13",2110,"三钢闽光","钢铁"
"14",2318,"久立特材","钢铁"
"15",2443,"金洲管道","钢铁"
"16",2478,"常宝股份","钢铁"
"17",2756,"永兴特钢","钢铁"
"18",600005,"武钢股份","钢铁"
"19",600010,"包钢股份","钢铁"
"20",600019,"宝钢股份","钢铁"
"21",600022,"山东钢铁","钢铁"
"22",600117,"西宁特钢","钢铁"
"23",600126,"杭钢股份","钢铁"
"24",600231,"凌钢股份","钢铁"
"25",600282,"南钢股份","钢铁"
"27",600307,"酒钢宏兴","钢铁"
"28",600399,"抚顺特钢","钢铁"
"29",600507,"方大特钢","钢铁"
"31",600569,"安阳钢铁","钢铁"
"32",600581,"*ST八钢","钢铁"
"34",600782,"新钢股份","钢铁"
"36",600808,"马钢股份","钢铁"
"38",601003,"柳钢股份","钢铁"
"39",601005,"*ST重钢","钢铁"
"40",603878,"武进不锈","钢铁"
