"","code","name","c_name"
"1",1,"平安银行","银行"
"2",2142,"宁波银行","银行"
"3",2807,"江阴银行","银行"
"4",2839,"张家港行","银行"
"5",600000,"浦发银行","银行"
"6",600015,"华夏银行","银行"
"7",600016,"民生银行","银行"
"8",600036,"招商银行","银行"
"9",600908,"无锡银行","银行"
"10",600919,"江苏银行","银行"
"11",600926,"杭州银行","银行"
"12",601009,"南京银行","银行"
"13",601128,"常熟银行","银行"
"14",601166,"兴业银行","银行"
"15",601169,"北京银行","银行"
"16",601229,"上海银行","银行"
"17",601288,"农业银行","银行"
"18",601328,"交通银行","银行"
"19",601398,"工商银行","银行"
"20",601818,"光大银行","银行"
"21",601939,"建设银行","银行"
"22",601988,"中国银行","银行"
"23",601997,"贵阳银行","银行"
"24",601998,"中信银行","银行"
"25",603323,"吴江银行","银行"
