"","code","name","c_name"
"1",166,"申万宏源","非银金融"
"2",415,"渤海金控","非银金融"
"4",563,"陕国投Ａ","非银金融"
"6",666,"经纬纺机","非银金融"
"7",686,"东北证券","非银金融"
"9",728,"国元证券","非银金融"
"10",750,"国海证券","非银金融"
"11",776,"广发证券","非银金融"
"12",783,"长江证券","非银金融"
"14",2500,"山西证券","非银金融"
"15",2673,"西部证券","非银金融"
"16",2736,"国信证券","非银金融"
"17",2797,"第一创业","非银金融"
"19",600030,"中信证券","非银金融"
"21",600109,"国金证券","非银金融"
"22",600291,"西水股份","非银金融"
"23",600369,"西南证券","非银金融"
"25",600643,"爱建集团","非银金融"
"28",600747,"大连控股","非银金融"
"30",600816,"安信信托","非银金融"
"31",600830,"香溢融通","非银金融"
"32",600837,"海通证券","非银金融"
"33",600909,"华安证券","非银金融"
"34",600958,"东方证券","非银金融"
"35",600999,"招商证券","非银金融"
"36",601099,"太平洋","非银金融"
"37",601198,"东兴证券","非银金融"
"38",601211,"国泰君安","非银金融"
"39",601318,"中国平安","非银金融"
"40",601336,"新华保险","非银金融"
"41",601375,"中原证券","非银金融"
"42",601377,"兴业证券","非银金融"
"43",601555,"东吴证券","非银金融"
"44",601601,"中国太保","非银金融"
"45",601628,"中国人寿","非银金融"
"46",601688,"华泰证券","非银金融"
"47",601788,"光大证券","非银金融"
"48",601881,"中国银河","非银金融"
"49",601901,"方正证券","非银金融"
"50",603300,"华铁科技","非银金融"
