"","code","name","c_name"
"1",19,"深深宝Ａ","食品饮料"
"2",557,"西部创业","食品饮料"
"3",568,"泸州老窖","食品饮料"
"5",596,"古井贡酒","食品饮料"
"6",716,"黑芝麻","食品饮料"
"7",729,"燕京啤酒","食品饮料"
"8",752,"西藏发展","食品饮料"
"10",799,"酒鬼酒","食品饮料"
"12",848,"承德露露","食品饮料"
"13",858,"五 粮 液","食品饮料"
"15",869,"张 裕Ａ","食品饮料"
"16",895,"双汇发展","食品饮料"
"18",929,"兰州黄河","食品饮料"
"19",995,"*ST皇台","食品饮料"
"20",2216,"三全食品","食品饮料"
"23",2304,"洋河股份","食品饮料"
"24",2329,"皇氏集团","食品饮料"
"25",2330,"得利斯","食品饮料"
"26",2387,"黑牛食品","食品饮料"
"27",2461,"珠江啤酒","食品饮料"
"28",2481,"双塔食品","食品饮料"
"29",2495,"佳隆股份","食品饮料"
"30",2507,"涪陵榨菜","食品饮料"
"31",2515,"金字火腿","食品饮料"
"32",2557,"洽洽食品","食品饮料"
"33",2568,"百润股份","食品饮料"
"34",2570,"贝因美","食品饮料"
"35",2582,"好想你","食品饮料"
"37",2646,"青青稞酒","食品饮料"
"38",2650,"加加食品","食品饮料"
"39",2661,"克明面业","食品饮料"
"40",2695,"煌上煌","食品饮料"
"41",2702,"海欣食品","食品饮料"
"42",2719,"麦趣尔","食品饮料"
"43",2726,"龙大肉食","食品饮料"
"44",2732,"燕塘乳业","食品饮料"
"45",2770,"科迪乳业","食品饮料"
"46",2820,"桂发祥","食品饮料"
"47",2840,"华统股份","食品饮料"
"48",2847,"盐津铺子","食品饮料"
"52",600059,"古越龙山","食品饮料"
"53",600073,"上海梅林","食品饮料"
"54",600084,"中葡股份","食品饮料"
"55",600090,"同济堂","食品饮料"
"56",600132,"重庆啤酒","食品饮料"
"57",600186,"莲花健康","食品饮料"
"59",600197,"伊力特","食品饮料"
"60",600199,"金种子酒","食品饮料"
"61",600238,"海南椰岛","食品饮料"
"63",600300,"维维股份","食品饮料"
"64",600305,"恒顺醋业","食品饮料"
"65",600365,"通葡股份","食品饮料"
"67",600429,"三元股份","食品饮料"
"68",600519,"贵州茅台","食品饮料"
"69",600543,"莫高股份","食品饮料"
"71",600573,"惠泉啤酒","食品饮料"
"72",600597,"光明乳业","食品饮料"
"73",600600,"青岛啤酒","食品饮料"
"74",600616,"金枫酒业","食品饮料"
"75",600702,"沱牌舍得","食品饮料"
"77",600779,"水井坊","食品饮料"
"78",600809,"山西汾酒","食品饮料"
"81",600873,"梅花生物","食品饮料"
"82",600887,"伊利股份","食品饮料"
"84",601579,"会稽山","食品饮料"
"85",603020,"爱普股份","食品饮料"
"86",603027,"千禾味业","食品饮料"
"87",603031,"安德利","食品饮料"
"88",603198,"XD迎驾贡","食品饮料"
"89",603288,"海天味业","食品饮料"
"90",603345,"安井食品","食品饮料"
"91",603369,"今世缘","食品饮料"
"92",603517,"绝味食品","食品饮料"
"93",603589,"口子窖","食品饮料"
"94",603696,"安记食品","食品饮料"
"95",603777,"来伊份","食品饮料"
"96",603779,"威龙股份","食品饮料"
"97",603866,"桃李面包","食品饮料"
"98",603886,"元祖股份","食品饮料"
"99",603919,"金徽酒","食品饮料"
